,Data Cloud All Accounts

,BU ,ANZ,,Snapshot
,OU,*,,# of accounts,304
,AOV Band,"01. >25M, 02. 10M-25M, 03. 5M-10M, 04. 1M-5M, 05. 500K-1M, 06. 100K-500K, 10. <1K, 09. 1K-10K, 08. 10K-50K, 07. 50K-100K",,AOV ($),28M
,Success Plan,*,,DS allowance,31B
,CL Influence,*
,FDE Covered,*
,,ACCT_NM,CY_DATACLOUD_AOV,CY_DATACLOUD_ACV,CY_DATACLOUD_OP,CY_DATACLOUD_PG,ORG62_SUPPORT_LEVEL,CL,ALL ENT_END_DT

,Data refreshed as of: 1/12,,,,,,,,,,DATA SERVICE CREDITS
,OU,# of Accounts,DC AOV,DC ACV,DC OP,DC PG,Success Plan,CL,Months to Renew,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,0013000000BOGCGAA5,UniSuper Management Pty Ltd,0.2M,−,−,0.1M,Basic,Katie Dale,40,,112M,36M,−,0%,112M,−,0%,–,-,0%
,0013y00001dMLPmAAO,AMP BANK LIMITED,0.2M,0.0M,−,−,Signature,Katie Dale,17,,20M,9M,0M,0%,20M,0M,0%,+0M,+1%,0%
,0013y00001epI95AAE,New Zealand Rugby Commercial LP,0.2M,0.0M,,0.0M,Premier,Cameron Robert,2,,156M,146M,101M,65%,156M,96M,62%,+5M,+5%,69%
,0013000000FdOAZAA3,Officeworks Ltd,0.2M,0.1M,−,0.1M,Premier,Cameron Robert,54,,336M,32M,2M,0%,336M,0M,0%,+2M,+5710%,5%
,0013y00001d6yBDAAY,Toyota New Zealand Ltd,0.2M,0.0M,−,0.0M,Basic,Cameron Robert,2,,24M,23M,0M,0%,24M,0M,0%,+0M,+48%,0%
,00130000002xRiAAAU,ASX Operations Pty Limited,0.2M,0.0M,−,0.1M,Signature,Katie Dale,53,,354M,39M,0M,0%,354M,0M,0%,+0M,+107%,0%
,00130000002xL3DAAU,Z Energy Limited,0.2M,0.0M,−,0.0M,Premier,,11,,71M,48M,7M,9%,71M,3M,4%,+3M,+106%,14%
,001ed00000DEecPAAT,Accenture Australia Pty Ltd,0.2M,0.1M,−,0.1M,Premier,,50,,154M,23M,0M,0%,150M,−,0%,+0M,-,0%
,0013000000M2jV6AAJ,Cotton On Clothing Pty Ltd,0.2M,−,−,−,Basic,,6,,10M,5M,−,0%,10M,−,0%,–,-,0%
,0010M00001QnUsQQAV,IPIC Pty Ltd,0.2M,0.0M,−,0.0M,Premier,,23,,67M,24M,7M,10%,67M,5M,8%,+2M,+29%,28%
,0013000000GJCxeAAH,Premier Retail Services Pty Ltd (trading as SM/PA),0.2M,0.0M,−,0.0M,Premier,,6,,111M,53M,4M,3%,111M,1M,1%,+3M,+385%,7%
,00130000016gkcgAAA,Stratco Pty Ltd,0.2M,0.0M,−,0.0M,Basic,,8,,25M,16M,−,0%,25M,−,0%,–,-,0%
,001ed00000KJibKAAT,Flight Centre Travel Group Limited,0.2M,0.0M,−,0.1M,Premier,Cameron Robert,46,,193M,32M,38M,20%,193M,40M,21%,-2M,-4%,121%
,0010M00001cHTEtQAO,Vocus Pty Ltd,0.2M,0.2M,−,0.0M,Premier,,5,,19M,15M,0M,0%,19M,0M,0%,+0M,+25%,0%
,0013y00001eqjKbAAI,Appen AI Pty Limited,0.2M,−,−,0.2M,Premier,,-,,−,−,−,-,−,−,-,–,-,-
,00130000016hZ7XAAU,Origin Energy Services Ltd,0.2M,0.2M,−,0.3M,Premier,,22,,41M,6M,0M,0%,13M,0M,0%,-0M,-100%,0%
,0013000001LyL4UAAV,LITE N' EASY PTY LTD,0.2M,−,−,0.1M,Premier,,21,,186M,76M,94M,51%,186M,88M,47%,+6M,+7%,124%
,001ed00000ebulpAAA,Nine Entertainment,0.2M,−,−,−,Signature,,17,,16M,1M,0M,1%,5M,0M,4%,-0M,-30%,12%
,0013000000BNsswAAD,The Hospitals Contribution Fund Of Australia Ltd,0.2M,0.0M,−,0.1M,Signature,Katie Dale,18,,30M,15M,26M,84%,30M,18M,59%,+8M,+44%,174%
,0013000001FixXyAAJ,Scanlan Theodore,0.2M,−,,−,Premier,,43,,54M,15M,38M,70%,54M,10M,19%,+28M,+274%,259%
,00130000002xS2hAAE,Craveable Brands Pty Ltd,0.1M,−,−,0.1M,Basic,Cameron Robert,29,,293M,50M,6M,2%,293M,4M,1%,+3M,+71%,12%
,0010M00001SISctQAH,NDC Australia Pty Ltd,0.1M,-0.1M,−,-0.0M,Basic,,30,,101M,15M,4M,4%,101M,1M,1%,+3M,+467%,25%
,001ed00000dMzPmAAK,Loan Market Group PTY LTD,0.1M,0.1M,−,0.2M,Signature,,34,,7M,0M,−,0%,−,−,-,–,-,0%
,0013y00001h9f0pAAA,UniSuper Management Pty Ltd (FSC),0.1M,0.1M,−,0.0M,Premier,,45,,99M,25M,1M,1%,99M,1M,1%,–,–,6%
,0013000001Jxw2nAAB,Hotel & Tourism Management PTY. LTD,0.1M,0.0M,,0.0M,Premier,,12,,81M,54M,74M,91%,67M,68M,101%,+6M,+9%,137%
,0013y00001cVJtvAAG,Allam Property Group - Marketing Cloud Org,0.1M,−,,,Basic,,-,,−,−,−,-,−,−,-,–,-,-
,0013000000M2jWIAAZ,Royal Automobile Club of Victoria (RACV) Ltd,0.1M,0.0M,−,0.0M,Signature,,57,,7M,0M,0M,0%,7M,0M,0%,+0M,+2857%,3%
,0010M00001QkY6ZQAV,Kaplan Australia Pty Ltd,0.1M,0.0M,−,0.0M,Premier,,36,,66M,11M,0M,0%,66M,0M,0%,+0M,+787%,0%
,0010M00001WaNKCQA3,pay.com.au,0.1M,0.0M,−,0.0M,Basic,,40,,53M,17M,39M,74%,53M,30M,57%,+9M,+28%,226%
,0013000001GYTnfAAH,Macquarie Group Services Australia Pty Ltd,0.1M,−,−,0.2M,Signature,,12,,33M,7M,0M,1%,33M,0M,0%,+0M,+216%,2%
,0010M00001SIKLLQA5,Boral Shared Business Services Pty Ltd,0.1M,0.0M,−,0.0M,Premier,,18,,47M,23M,33M,70%,30M,9M,30%,+23M,+257%,144%
,0013y00001fogHhAAI,EBOS Healthcare Enterprise,0.1M,−,−,−,Basic,,-,,−,−,−,-,−,−,-,–,-,-
,0013y00001fSqHaAAK,Australian Community Media Data Cloud,0.1M,−,0.0M,0.0M,Basic,Katie Dale,4,,86M,55M,56M,65%,86M,41M,47%,+16M,+38%,102%
,0013000000IkksKAAR,Teachers Health Federation Ltd,0.1M,0.1M,0.1M,0.2M,Premier,,0,,3M,2M,0M,0%,2M,−,0%,+0M,-,0%
,0010M00001SJ8IhQAL,NIGHTOWL CORPORATE PTY LTD,0.1M,−,−,−,Premier,,22,,108M,67M,47M,43%,108M,43M,40%,+4M,+9%,69%
,0010M00001QlcaSQAR,Plan Management Partners Pty Ltd,0.1M,−,−,0.0M,Premier,,5,,25M,20M,1M,2%,25M,1M,2%,+0M,+5%,3%
,0013y00001fc6GRAAY,Kiwibank Limited,0.1M,0.1M,−,0.3M,Basic,,15,,15M,2M,1M,3%,6M,0M,2%,+0M,+397%,24%
,00130000016gkZmAAI,MECCA Brands Pty Ltd,0.1M,−,−,−,Signature,,0,,35M,34M,0M,0%,35M,0M,0%,+0M,+0%,0%
,0010M00001SICQGQA5,Air Pacific Ltd trading as Fiji Airways,0.1M,0.0M,0.1M,0.1M,Premier,,24,,101M,32M,6M,6%,101M,4M,4%,+2M,+51%,19%
,0013y00001Z1CjTAAV,Moremac Property Group,0.1M,−,,−,Basic,,-,,−,−,−,-,−,−,-,–,-,-
,0013y00001gpo5bAAA,ConnectNow Pty Ltd,0.1M,−,−,−,Premier,,4,,12M,7M,−,0%,12M,−,0%,–,-,0%
,0013000000Raj07AAB,Isuzu Australia Limited,0.1M,−,−,−,Premier,,3,,16M,13M,1M,5%,16M,1M,5%,+0M,+1%,6%
,0013000001CCu4NAAT,Bluecurrent NZ Limited,0.1M,−,,0.0M,Premier,,15,,20M,7M,−,0%,20M,−,0%,–,-,0%
,0013y00001dxzseAAA,West Australian Newspapers Limited,0.1M,−,,−,Basic,,4,,160M,141M,56M,35%,160M,50M,31%,+6M,+12%,40%
,0013000000IklKUAAZ,Yarra Valley Water Corporation,0.1M,−,−,−,Premier,,21,,38M,21M,−,0%,38M,−,0%,–,-,0%
,0010M00001JzqK3QAJ,Hejaz Financial Services,0.1M,−,,−,Basic,,36,,50M,20M,0M,0%,50M,0M,0%,–,–,0%
,0010M00001WYOyYQAX,VetPartners AU,0.1M,0.1M,−,−,Premier,,57,,204M,9M,0M,0%,204M,−,0%,+0M,-,0%
,0013000001FKz8LAAT,Amart Furniture Pty Ltd,0.1M,-0.0M,0.1M,0.4M,Premier,,9,,28M,11M,−,0%,0M,−,0%,–,-,0%
,0013000001J7Q0IAAV,Wizard Pharmacy,0.1M,−,−,0.1M,Basic,,43,,64M,17M,2M,4%,64M,2M,3%,+0M,+21%,14%
,0013000000D9pM2AAJ,Credit Corp Group Limited,0.1M,−,−,−,Basic,,17,,30M,15M,0M,0%,30M,0M,0%,–,–,1%
,0010M00001SHicNQAT,Lightforce Australia PTY LTD,0.1M,−,,−,Premier,,36,,57M,22M,0M,0%,57M,0M,0%,+0M,+44%,0%
,0013y00001fobgrAAA,Momentum Media - 2nd Org,0.1M,−,,−,Basic,,4,,71M,58M,14M,20%,71M,9M,13%,+5M,+56%,24%
,0013000000hMZ59AAG,NSW Electricity Networks Operations Pty Limited,0.1M,−,−,−,Premier,,7,,13M,10M,0M,0%,13M,0M,0%,+0M,+13883%,0%
,0010M00001WYuvnQAD,Orde,0.1M,−,,0.0M,Premier,,17,,31M,16M,0M,1%,31M,0M,1%,+0M,+7%,1%
,0013y00001YbVF9AAN,Cochlear Limited,0.1M,0.0M,−,−,Signature,,51,,50M,7M,0M,0%,50M,0M,0%,-0M,-7%,0%
,00130000002xRpzAAE,Zurich Financial Services Australia Limited,0.1M,0.0M,−,0.1M,Premier,,24,,31M,10M,0M,0%,31M,0M,0%,+0M,+267%,1%
,0013000000NSmnlAAD,Suncorp New Zealand Services Limited,0.1M,0.1M,−,-0.0M,Signature,,31,,64M,28M,0M,0%,64M,0M,0%,+0M,+1025%,0%
,0013000000HJBfbAAH,Police & Nurses Ltd,0.1M,−,−,−,Basic,,-,,−,−,−,-,−,−,-,–,-,-
,0013y00001d1oVlAAI,Lendi Group Pty Ltd,0.1M,−,−,−,Signature,Katie Dale,15,,43M,15M,0M,0%,43M,−,0%,+0M,-,0%
,00130000002xS0pAAE,R.M. Williams Pty Ltd,0.1M,0.0M,−,0.0M,Premier,Elspeth Vu-Doan,18,,165M,79M,6M,3%,165M,4M,3%,+1M,+32%,7%
,0013000001FixZPAAZ,Rodd & Gunn Australia Pty Ltd,0.1M,−,−,0.1M,Basic,,53,,80M,9M,33M,41%,80M,9M,12%,+23M,+254%,367%
,0013y00001cZeMxAAK,Wesfarmers One Pass Pty Ltd,0.1M,0.1M,,0.1M,Premier,,20,,44M,2M,0M,0%,4M,0M,4%,-0M,-86%,1%
,0013y00001cjy4oAAA,Nucleus Network Minneapolis,0.1M,−,−,0.0M,Basic,,24,,32M,10M,0M,0%,32M,0M,0%,–,–,0%
,0013000000NSpSGAA1,OzForex Limited,0.1M,0.1M,−,0.3M,Premier,Elspeth Vu-Doan,24,,46M,15M,2M,5%,29M,2M,6%,+1M,+39%,16%
,001ed00000SiNVRAA3,Endeavour Energy Network Operator Partnership trading as Endeavour energy,0.1M,-0.0M,,-0.0M,Signature,,0,,7M,6M,0M,0%,7M,0M,0%,+0M,+1036%,0%
