,Agentforce All Accounts

,BU ,LATAM,,Snapshot
,OU,*,,# of accounts,313
,AOV Band,"06. 100K-500K, 05. 500K-1M, 04. 1M-5M, 03. 5M-10M, 02. 10M-25M, 01. >25M, 07. 50K-100K, 08. 10K-50K, 09. 1K-10K, 10. <1K",,AOV ($),27M
,Success Plan,*,,Flex Credits Allowance,"12,276M"
,CL Influence,*,,Conv Allowance,14M
,FDE Covered,*
,,ACCT_NM,CY_AGENTFORCE_AOV,CY_AGENTFORCE_ACV,CY_AGENTFORCE_OP,CY_AGENTFORCE_PG,STAGE_NM,ORG62_SUPPORT_LEVEL,FDE Covered,CL,ALL ENT_END_DT

,Data refreshed as of: 1/12,,,,,,,,,,,,FLEX CREDITS,,,,,,,,,,,CONVERSATIONS
,Account #,Account Name,AF AOV,AF ACV,AF OP,AF PG,Adoption Stage,Success Plan,FDE,CL,Months to Renew,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,001ed00000SIsEkAAL,Prodesp - Empresa de TI do Estado de São Paulo_PPT,0.3M,0.3M,2.5M,2.8M,Agents Used in Prod,Premier,Y,Leonardo Teren,5,,−,−,−,-,−,−,-,–,-,-,,2M,1M,0M,0%,2M,0M,0%,+0M,+3429%,0%
,0013y00001h1nFQAAY,PEFISA SA CREDITO FINANCIAMENTO E INVESTIMENTO,0.2M,0.0M,−,0.1M,Agents Used in Prod,Basic,N,Alan Ferrari,11,,87M,45M,9M,11%,87M,0M,0%,+9M,+23034%,20%,,−,−,−,-,−,−,-,–,-,-
,0013y00001ephAyAAI,E-Networks Communications Org,0.2M,0.1M,−,0.1M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,23,,−,−,−,-,−,−,-,–,-,-,,1M,0M,0M,4%,1M,0M,2%,+0M,+89%,14%
,0010M00001QqX4sQAF,MRV Engenharia e Participações S.A,0.2M,0.2M,−,0.2M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,Kamilla Ladeira,3,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,11%,0M,0M,7%,+0M,+47%,16%
,0013000000LBLnIAAX,Makro Supermayorista S.A.,0.2M,0.2M,−,0.4M,Purchased SKU,Basic,N,,12,,150M,34M,−,0%,0M,−,0%,–,-,0%,,−,−,−,-,−,−,-,–,-,-
,0010M00001UMdNxQAL,Banco C6 S.A.,0.2M,0.2M,−,0.2M,Agents Used in Prod,Premier,N,Kamilla Ladeira,18,,77M,6M,0M,0%,−,−,-,+0M,-,0%,,−,−,−,-,0M,0M,0%,-0M,-100%,-
,00130000016gSHbAAM,CORPORACION INMOBILIARIA KTRC S.A DE C.V.,0.2M,0.1M,−,0.1M,Agents Activated in Prod,Signature,N,,24,,150M,28M,0M,0%,150M,0M,0%,+0M,+84933%,0%,,−,−,−,-,−,−,-,–,-,-
,0013000000M1m7pAAB,SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA,0.2M,−,−,1.1M,Agents Used in Prod,Signature,N,,11,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,1%,0M,0M,1%,+0M,+28%,1%
,0013000000hJJ4FAAW,iFood.com Agência de Restaurantes Online S.A,0.2M,0.0M,4.0M,4.2M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Signature,Y,,6,,23M,11M,6M,24%,23M,2M,10%,+3M,+140%,51%,,−,−,−,-,−,−,-,–,-,-
,0010M00001QmFsqQAF,Grupo Posadas S.A.B. de C.V.,0.2M,0.4M,−,0.8M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,21,,93M,10M,0M,0%,0M,−,0%,+0M,-,5%,,−,−,−,-,−,−,-,–,-,-
