customer,acct_id,acct_nm,OU Mapping,Customer Usage Category,tenure_segment,Low Consumption Customer,cust_crr_classification,Data Date,customer_dc_aov,cust_data_cloud_crr,Account Count,Count,Acct_ID_18
*** DUPLICATE ACCOUNT*** SEE MIMIT - MIDWEST INSTITUTE FOR MINIMALLY INVASIVE TH,0013000000hLbh2,MIMIT,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000000hLbh2AAC
*** DUPLICATE ACCOUNT*** SEE MIMIT - MIDWEST INSTITUTE FOR MINIMALLY INVASIVE TH,0013000000hLbh2,MIMIT,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000000hLbh2AAC
A HOLDINGS CORPORATION,0010M00001SJK7U,LY Corporation (CS),,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0010M00001SJK7UQAX
A HOLDINGS CORPORATION,00130000001kJqi,LY Corporation (Y!J),,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,00130000001kJqiAAE
A2A SPA,0010M00001UEcB5,A2A Energia S.p.A.,,Activate Anywhere,12+ Months,Low Consumption,Under Consuming,2-Jan,,,1,1,0010M00001UEcB5QAL
A2A SPA,0010M00001UEcB5,A2A Energia S.p.A.,,Activate Anywhere,12+ Months,Low Consumption,Under Consuming,2-Jan,,,1,1,0010M00001UEcB5QAL
A-AERO,0010M00001QaAv6,A-Aero,,No Production Usage,9-12 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001QaAv6QAF
"A-LIGN COMPLIANCE AND SECURITY, INC.",0013000000RaEf4,A-LIGN,,Unified/Harmonized,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000RaEf4AAF
A-ROSA FLUSSSCHIFF GMBH,0013000000LZOGV,A-Rosa Flussschiff GmbH,,Unified/Harmonized,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000000LZOGVAA5
"A. J. RICHARD & SONS, INC.",00130000002xZq7,P.C. Richard & Son Long Island Corporation,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,00130000002xZq7AAE
"A. J. RICHARD & SONS, INC.",00130000002xZq7,P.C. Richard & Son Long Island Corporation,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,00130000002xZq7AAE
A.C. MILAN S.P.A.,0010M00001QkhhD,A.C. Milan S.p.A.,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001QkhhDQAR
A.C. MILAN S.P.A.,0010M00001QkhhD,A.C. Milan S.p.A.,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001QkhhDQAR
A.C. MILAN S.P.A.,0010M00001QkhhD,A.C. Milan S.p.A.,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001QkhhDQAR
A.C. MILAN S.P.A.,0010M00001QkhhD,A.C. Milan S.p.A.,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001QkhhDQAR
"A.N.A. COMPAÑÍA DE SEGUROS, S.A. DE C.V.",0013000000GLEVE,A.N.A. Compañía de Seguros SA de CV,,Connected (including zero copy),3-6 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000GLEVEAA5
"A.N.A. COMPAÑÍA DE SEGUROS, S.A. DE C.V.",0013000000GLEVE,A.N.A. Compañía de Seguros SA de CV,,Connected (including zero copy),3-6 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000GLEVEAA5
"A.N.A. COMPAÑÍA DE SEGUROS, S.A. DE C.V.",0013000000GLEVE,A.N.A. Compañía de Seguros SA de CV,,Connected (including zero copy),3-6 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000GLEVEAA5
AAA NORTHEAST,0013000000M1bY4,AAA Northeast,,No Production Usage,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000M1bY4AAJ
AAA WASHINGTON,0013y00001fzqFd,AAA Washington,,Connected (including zero copy),12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fzqFdAAI
"AAC HOLDINGS, INC.",00130000016hRMP,American Addiction Centers*,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,00130000016hRMPAA2
