
Account #,Account Name,CL,AF AOV,AF ACV,AF OP,AF PG,Adoption Stage,Conv Allowance,Flex Credits Allowance,Support Level 
00100000000Cc6QAAS,athenahealth Inc. *,,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"127,200K",Signature
0010M00001V4BgIQAV,GBT Travel Services UK Limited (Select),,0M,0M,−,0M,Purchased SKU,0K,"270,100K",Signature
0013000000DAMDNAA5,Society for Human Resource Management,Taylor DiVincenzo,0M,−,−,−,Agents Created in Prod or Sandbox,201K,0K,Premier
0010M00001SJBaAQAX,"Barracuda Networks, Inc.",,0M,0M,−,1M,Agents Used in Prod,0K,"31,600K",Premier
0013y00001d0o36AAA,"GoDaddy.com, LLC - GoDaddy Main",Sam Elliott,0M,−,−,−,Agents Created in Prod or Sandbox,77K,0K,Premier
0013000001Gl7MGAAZ,Arvig,,0M,−,0M,0M,Agents Created in Prod or Sandbox,102K,0K,Signature
0013000000hMZcmAAG,Salesloft Inc (Primary Account),,0M,−,0M,0M,Purchased SKU,75K,0K,Premier
00100000000zDyLAAU,The Nielsen Company (US) LLC,,0M,0M,−,0M,Purchased SKU,0K,100K,Premier
00130000006RvVgAAK,Internet Brands,,0M,−,−,0M,Purchased SKU,0K,0K,Premier
0013000000NQhgDAAT,"Datasite LLC, formerly known as Merrill Communications LLC",,0M,0M,−,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,"37,600K",Signature
0013000000hIzE1AAK,"Liquid Web, Inc.",,0M,−,−,−,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),400K,0K,Premier
00130000004IFY1AAO,"ArcBest Technologies, Inc.",,0M,−,−,−,Agents Created in Prod or Sandbox,601K,0K,Premier
0013000000Zl6a7AAB,Inspirato LLC,,0M,−,−,0M,Agents Created in Prod or Sandbox,110K,0K,Premier
0010000000004GvAAI,"OpenTable, Inc.",Taylor DiVincenzo,0M,−,−,−,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),"1,251K",0K,Premier
0013000000269RRAAY,"Avalara, Inc.",,0M,0M,1M,1M,Agents Used in Prod,201K,0K,Signature
00130000016jZgPAAU,"Uber Technologies, Inc.",,0M,0M,0M,1M,Purchased SKU,1K,0K,Signature
001ed00000VyjV5AAJ,"CBRE, Inc",,0M,0M,−,0M,Purchased SKU,0K,0K,Premier
00130000000KOkWAAW,"Proofpoint, Inc. (MAIN)",,0M,0M,−,0M,Agents Activated in Prod,0K,"24,100K",Premier
001ed00000a3H61AAE,Wilshire Law Firm - 2nd Org,,0M,−,,,Purchased SKU,0K,"52,600K",Basic
0010M00001WkMFSQA3,ZoomInfo Technologies LLC,,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"20,000K",Signature
001300000025ReUAAU,"PayPal, Inc. (Main)",,0M,0M,5M,16M,Agents Created in Prod or Sandbox,0K,"20,100K",Signature
0013000000rmrrcAAA,"Kumon North America, Inc.",,0M,0M,−,0M,Purchased SKU,0K,"109,600K",Signature
0013y00001eBwKUAA0,Employ,,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,"15,600K",Signature
0013000001CBllAAAT,We Work Management LLC,,0M,−,−,0M,Purchased SKU,0K,0K,Partner Premier + Account Manager
