
Account #,Account Name,CL,AF AOV,AF ACV,AF OP,AF PG,Adoption Stage,Conv Allowance,Flex Credits Allowance,Support Level 
0013000000M2JM9AAN,Coastal Cloud,,0M,0M,−,0M,Agents Used in Prod,0K,"5,100K",Basic
0013000000J6bQKAAZ,"PubMatic, Inc.",,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,"5,600K",Signature
00100000002CN7uAAG,"DIRECTV, LLC",,0M,0M,−,−,Purchased SKU,0K,0K,Premier
0013y00001YbXwDAAV,Technocrats Domain Inc org 1,,0M,0M,,0M,Purchased SKU,6K,0K,Premier
0010M00001NYZdSQAX,NeuraFlash LLC,,0M,−,−,0M,Agents Used in Prod,23K,0K,Basic
0013000000hJSRoAAO,"Granite Telecommunications, LLC",,0M,0M,0M,1M,Purchased SKU,0K,"2,100K",Signature
0013y00001c4gGjAAI,ThunderSF,,0M,−,−,0M,Agents Created in Prod or Sandbox,0K,0K,Basic
0010M00001P00bhQAB,ACI INFOTECH,,0M,0M,−,0M,Purchased SKU,0K,"2,600K",Basic
0010M00001ULk0hQAD,CloudQ,,0M,0M,,0M,Purchased SKU,7K,0K,Basic
0013000001JbQkPAAV,Agilysys,,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"2,100K",Premier
00130000000hXhzAAE,Diplomatic Language Services*,,0M,−,,−,Agents Created in Prod or Sandbox,6K,0K,Premier
0010M00001P0T93QAF,DXC Technology Services LLC,,0M,−,−,1M,Agents Created in Prod or Sandbox,6K,0K,Premier
0013000000K6nb7AAB,SuccessFuel,,0M,0M,−,0M,Purchased SKU,5K,0K,Premier
0013000001CAuHLAA1,"Illumio, Inc.*",,0M,0M,-17M,-17M,Agents Created in Prod or Sandbox,21K,0K,Premier
0010M00001S9BrEQAV,Service Logic (Service Cloud org),,0M,−,,−,Purchased SKU,16K,0K,Basic
0013y00001cgRMJAA2,Odyssey Resorts,,0M,−,−,0M,Agents Used in Prod,8K,0K,Premier
0013y00001h81zCAAQ,Proquire LLC,,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"53,600K",Premier
0013y00001fvAb9AAE,Proquire LLC,,0M,−,−,−,Agents Used in Prod,0K,"51,400K",Premier
0013y00001fvAb4AAE,Proquire LLC,,0M,−,−,−,Agents Created in Prod or Sandbox,0K,"51,800K",Premier
0010M00001Qqt9TQAR,Clearview Partners,,0M,0M,−,0M,Purchased SKU,16K,0K,Premier
0013000001GXptxAAD,Pavilion - Core Org,,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,"5,500K",Premier
00130000000QNUSAA4,Qualifacts Systems Inc,,0M,−,−,−,Agents Created in Prod or Sandbox,16K,0K,Premier
0010M00001WZH3uQAH,Miller Brothers,,0M,−,−,−,Agents Activated in Prod,0K,"1,700K",Basic
0013000001GWwf5AAD,"Intercom, Inc.",,0M,−,0M,0M,Purchased SKU,11K,0K,Premier
0013y00001f9VD3AAM,Stellar Virtual,,0M,0M,−,0M,Purchased SKU,0K,"5,100K",Basic
0013000000ZmgOdAAJ,AMS.NET,,0M,0M,−,0M,Purchased SKU,26K,0K,Premier
00130000008l1H6AAI,DealerOn  Inc.,,0M,−,−,−,Purchased SKU,0K,"2,500K",Premier
0013y00001gmk26AAA,Sutherland as OSP for OSP CoE,,0M,−,,−,Agents Used in Prod,4K,0K,Basic
0013y00001g5On4AAE,Proquire LLC,,0M,−,,−,Agents Used in Prod,0K,"52,800K",Premier
0013y00001fvAbOAAU,Proquire LLC,,0M,−,,−,Agents Used in Prod,0K,"37,900K",Premier
0013y00001foJ4AAAU,Cognizant Technology Solutions Corporation,,0M,−,,−,Agents Used in Prod,5K,0K,Premier
0013000000J4xE3AAJ,BTS USA Inc.,,0M,0M,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),1K,"1,700K",Premier
0010M00001SHdBvQAL,CriticalRiver Inc.*,,0M,0M,−,0M,Purchased SKU,0K,"2,100K",Basic
0013y00001eXmluAAC,Chetu (Main),,0M,0M,−,−,Agents Used in Prod,5K,0K,Basic
0013000001C9rvcAAB,"Bullhorn, Inc (Main Org)",,0M,−,−,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),10K,0K,Premier
0013000001J5soXAAR,Acct-TEGNA,,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"1,600K",Premier
0013000000RYqOZAA1,ISACA,,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"1,600K",Premier
0010M00001PE06kQAD,BlueVoyant,,0M,0M,0M,0M,Agents Used in Prod,0K,"1,600K",Basic
001ed00000AsgB0AAJ,"Marriott International Administrative Services, Inc..",,0M,−,−,−,Purchased SKU,11K,0K,Signature
0013000000Hk2EjAAJ,SmartBear Software Inc.,,0M,0M,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,"1,500K",Premier
0010M00001QmUw9QAF,Protoqual,,0M,0M,,0M,Purchased SKU,5K,0K,Basic
0013000000M2yPSAAZ,"West Star Aviation, Inc",,0M,−,−,−,Agents Used in Prod,10K,0K,Basic
0013000000ZkDQBAA3,Claris International Inc.,,0M,0M,,0M,Agents Created in Prod or Sandbox,0K,"1,300K",Premier
0013000000NR4zHAAT,DMSi,,0M,0M,0M,0M,Agents Used in Prod,6K,0K,Basic
00130000009aNB2AAM,"Oxford Global Resources, LLC",,0M,0M,0M,0M,Agents Used in Prod,0K,"1,200K",Premier
0013000001MrI1EAAV,"Live Nation Entertainment, Inc.",,0M,0M,5M,6M,Agents Created in Prod or Sandbox,0K,"1,100K",Signature
00130000016gLLrAAM,Alpine Intel #FY26_BigBet,,0M,0M,−,0M,Agents Used in Prod,0K,"4,400K",Signature
001000000002x8fAAA,Varian Medical Systems Inc.,,0M,−,−,1M,Agents Created in Prod or Sandbox,11K,0K,Signature
0013000000NSsKRAA1,"Akamai Technologies, Inc.",,0M,−,0M,0M,Agents Created in Prod or Sandbox,0K,"2,100K",Signature
001ed00000EXQN8AAP,KPMG INTERNATIONAL SERVICES LIMITED,,0M,0M,,−,Agents Activated in Prod,4K,0K,Premier
001ed00000JOwUcAAL,Slalom,,0M,0M,−,0M,Agents Activated in Prod,0K,"2,100K",Premier
001ed00000JOsnYAAT,Slalom,,0M,0M,,0M,Agents Activated in Prod,0K,"2,100K",Premier
001ed00000JOGqIAAX,Slalom Fins,,0M,0M,−,0M,Agents Activated in Prod,0K,"2,100K",Premier
001ed00000G7OCcAAN,Slalom,,0M,0M,,0M,Agents Activated in Prod,0K,"2,100K",Premier
0013y00001Xz7XrAAJ,Transport Enterprise Leasing LLC,,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,"3,800K",Premier
0013000000Em7TfAAJ,"Voyetra Turtle Beach, Inc.",,0M,0M,0M,0M,Agents Used in Prod,0K,"1,100K",Premier
001300000006cNAAAY,"Aria Systems, Inc.*",,0M,0M,−,0M,Agents Used in Prod,0K,"1,100K",Premier
0010M00001W8IgOQAV,Weichert Org 2,,0M,−,0M,0M,Agents Created in Prod or Sandbox,4K,0K,Premier
001000000006rVyAAI,ScholarOne,,0M,0M,−,0M,Agents Used in Prod,0K,"1,100K",Premier
001ed00000EXIPaAAP,KPMG INTERNATIONAL SERVICES LIMITED,,0M,0M,,−,Agents Created in Prod or Sandbox,3K,0K,Premier
001ed00000EXDzNAAX,KPMG INTERNATIONAL SERVICES LIMITED,,0M,0M,,−,Purchased SKU,3K,0K,Premier
001ed00000EWMJvAAP,KPMG INTERNATIONAL SERVICES LIMITED,,0M,0M,,−,Agents Used in Prod,3K,0K,Premier
001ed00000RjkTsAAJ,KPMG LLP,,0M,−,,−,Agents Used in Prod,0K,"1,000K",Premier
0013000001L6fXgAAJ,Binswanger Glass,,0M,−,−,0M,Purchased SKU,11K,0K,Premier
0013y00001cTGTzAAO,"Insight Direct USA, Inc.*",,0M,0M,0M,0M,Agents Used in Prod,0K,"1,900K",Signature
0013y00001c6qftAAA,UL LLC (UL Enterprise),,0M,0M,0M,0M,Purchased SKU,11K,0K,Signature
001ed00000ESNsrAAH,Cognizant Technology Solutions Corporation,,0M,−,,,Agents Created in Prod or Sandbox,3K,0K,Premier
001ed00000ER9LjAAL,Cognizant Technology Solutions Corporation,,0M,−,,,Agents Created in Prod or Sandbox,3K,0K,Premier
001ed00000C27WMAAZ,Cognizant Technology Solutions Corporation,,0M,−,,,Agents Used in Prod,3K,0K,Premier
001ed00000AbHSPAA3,Cognizant Technology Solutions Corporation,,0M,−,,−,Agents Activated in Prod,3K,0K,Premier
0013y00001Y0LPMAA3,"Eagle View Technologies, Inc.*",,0M,0M,−,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,900K,Premier
0013000001L6eviAAB,"StubHub, Inc.",,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,900K,Premier
0013000001L5kGgAAJ,"Reputation.com, Inc*",,0M,−,0M,0M,Agents Created in Prod or Sandbox,3K,0K,Premier
00130000008ebEWAAY,Huber Engineered Materials Division,,0M,0M,−,−,Purchased SKU,0K,900K,Basic
00100000000ktisAAA,"Dayforce US, Inc.",,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,900K,Signature
00100000001CwSvAAK,Qorvo US Inc.,,0M,0M,0M,0M,Agents Created in Prod or Sandbox,6K,0K,Signature
0013000001GjJ03AAF,"Pendo.io, Inc.",,0M,0M,−,−,Agents Used in Prod,0K,"1,200K",Premier
001300000026OpQAAU,Alfred Publishing (Main),,0M,0M,0M,0M,Agents Used in Prod,0K,800K,Basic
001000000002mmBAAQ,Datamark,,0M,−,,−,Purchased SKU,0K,"2,100K",Premier
00130000016hI02AAE,Morningstar Corporate,,0M,0M,−,0M,Agents Used in Prod,0K,700K,Signature
0013y00001d2Dk4AAE,Cablevision Lightpath LLC,,0M,0M,0M,0M,Purchased SKU,0K,900K,Premier
0013000000K7grbAAB,"Advanced Micro Devices, Inc.",,0M,0M,−,−,Agents Activated in Prod,0K,"2,300K",Premier
00100000001mUKAAA2,Embanet- Compass Knowledge Group Inc,,0M,0M,−,0M,Agents Used in Prod,0K,"1,100K",Premier
0013000000RZH0iAAH,"MedAmerica, Inc. dba Vituity",,0M,0M,0M,0M,Agents Created in Prod or Sandbox,4K,0K,Premier
0010M00001QqTyxQAF,Common Sail Investment Group,,0M,−,−,−,Purchased SKU,4K,0K,Basic
00130000002mVsiAAE,Lineage Logistics (Main),,0M,0M,0M,1M,Agents Created in Prod or Sandbox,0K,600K,Premier
0010M00001WYycBQAT,"Medicus Healthcare Solutions, LLC",,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,700K,Premier
00130000004F5oJAAS,"Demandbase, Inc.*",,0M,0M,−,0M,Agents Used in Prod,0K,800K,Premier
0013000000RXJUbAAP,Foxit Software Inc.*,,0M,−,−,0M,Agents Created in Prod or Sandbox,2K,0K,Premier
0013000000In56MAAR,"Clearstructure Software, Llc",,0M,−,−,0M,Agents Created in Prod or Sandbox,4K,0K,Premier
0013y00001buHGyAAM,Info Services LLC,,0M,−,−,0M,Agents Activated in Prod,2K,0K,Basic
0013000001CD8BDAA1,"BARBRI, Inc.",,0M,0M,−,−,Agents Created in Prod or Sandbox,13K,0K,Premier
0010M00001ULk74QAD,Flock Freight,,0M,−,−,0M,Purchased SKU,2K,0K,Basic
00100000001Uux1AAC,Marco,,0M,−,−,−,Agents Created in Prod or Sandbox,4K,0K,Premier
0013000001L64p3AAB,Benchling,,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,500K,Premier
0013y00001eqMxLAAU,uShip Logistics (2nd org),,0M,0M,,0M,Purchased SKU,2K,0K,Basic
0013000000KuiDCAAZ,Conviva Inc.,,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,500K,Basic
0013000000M1vkIAAR,ProService Hawaii,,0M,0M,0M,0M,Purchased SKU,0K,300K,Premier
0010M00001QaJe4QAF,"Affinitiv, Inc.",,0M,0M,0M,0M,Agents Used in Prod,2K,0K,Premier
0013000000M2mxyAAB,"BMC Software, Inc.",,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,"3,500K",Signature
0013000000CqWbrAAF,Tribute Technology*,,0M,−,−,−,Purchased SKU,2K,0K,Basic
0013y00001h7onOAAQ,Proquire LLC;,,0M,−,−,−,Agents Used in Prod,0K,300K,Premier
0013y00001griEEAAY,Proquire LLC.,,0M,−,,−,Agents Activated in Prod,0K,300K,Premier
0013y00001fEtE0AAK,Aria Systems (Comms Cloud Org),,0M,0M,,0M,Agents Activated in Prod,2K,0K,Basic
0013y00001crW3RAAU,Proquire LLC,,0M,0M,,0M,Purchased SKU,0K,300K,Premier
0010M00001Z0QDpQAN,J.D. Power Company,,0M,0M,−,−,Purchased SKU,0K,300K,Premier
0013y00001cw2hyAAA,"CoachSource, LLC",,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,300K,Basic
0013y00001e5wJXAAY,Envision eCommerce,,0M,−,,−,Agents Used in Prod,2K,0K,Basic
0013000000Ez7TQAAZ,TD SYNNEX Corporation,,0M,−,0M,0M,Agents Created in Prod or Sandbox,2K,0K,Premier
0010M00001Z0KEBQA3,Moore Group,,0M,−,0M,0M,Purchased SKU,2K,0K,Premier
0010M00001Sed5MQAR,Solgen Power,,0M,−,−,−,Purchased SKU,2K,0K,Basic
001ed000007WDURAA4,Proquire LLC,,0M,−,−,−,Agents Created in Prod or Sandbox,0K,300K,Premier
0010M00001PEk7eQAD,RYNO Strategic Solutions,,0M,−,−,−,Purchased SKU,2K,0K,Premier
0013y00001f60oiAAA,"Nexus WW UK, A division of GroupM UK Digital Ltd",,0M,−,,−,Purchased SKU,1K,0K,Premier
0010M00001THHktQAH,Kyyba,,0M,0M,−,−,Purchased SKU,0K,200K,Premier
0013000000NSmFWAA1,"Ryan Lawn & Tree, Inc.",,0M,0M,−,0M,Agents Used in Prod,0K,400K,Basic
0013y00001ffe4fAAA,ZRG Partners,,0M,0M,0M,1M,Purchased SKU,0K,300K,Basic
001ed00000eyeBdAAI,Proquire LLC,,0M,0M,,0M,Purchased SKU,0K,200K,Premier
001ed00000SQra1AAD,"Resonate AI Labs, LLC",Taylor DiVincenzo,0M,0M,−,0M,Agents Used in Prod,0K,300K,Premier
0013y00001fbtXAAAY,Guidehouse Sustainability Practice,,0M,0M,−,0M,Purchased SKU,0K,200K,Basic
0013000000ZlujUAAR,"Evolve Vacation Rental Network, Inc.",,0M,0M,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),1K,200K,Premier
0013000000NSPSfAAP,"Invoca, Inc.",,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,200K,Premier
0013000000NRQFeAAP,"Couchbase, Inc*",,0M,-0M,−,-0M,Purchased SKU,0K,100K,Premier
0013000000Em3DwAAJ,MAnext,,0M,−,,−,Purchased SKU,0K,0K,Basic
001ed00000Vo57WAAR,"NTT DATA Americas, Inc",,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,200K,Signature
0013y00001cSJiAAAW,"Articulate Global, LLC",,0M,0M,−,0M,Agents Used in Prod,0K,200K,Premier
0013000000RaqaQAAR,Suzy/ Crowdtap Inc.,,0M,−,−,−,Purchased SKU,2K,0K,Basic
0013000000GtuOtAAJ,Advance Publications Inc. (Local),,0M,0M,−,0M,Agents Used in Prod,0K,200K,Premier
001300000025JadAAE,Shentel,,0M,−,−,−,Purchased SKU,2K,0K,Premier
001300000006zSDAAY,Health & Safety Institute (HSI),,0M,−,0M,0M,Agents Created in Prod or Sandbox,1K,0K,Basic
0013y00001cZdAMAA0,i2H Ambassador,,0M,−,,0M,Purchased SKU,1K,0K,Premier
0010M00001S9LoPQAV,"Cloudian, Inc.*",,0M,0M,,0M,Purchased SKU,1K,0K,Basic
0010M00001P0L7RQAV,Stackline,,0M,−,0M,0M,Agents Created in Prod or Sandbox,1K,0K,Basic
0013000000M2Ns9AAF,"Rumpke Consolidated Companies, Inc.",,0M,0M,−,−,Purchased SKU,0K,200K,Premier
0010M00001WJaFuQAL,Vercel,,0M,−,0M,0M,Purchased SKU,1K,0K,Premier
00100000000oyjgAAA,"Mirantis, Inc.*",,0M,−,−,0M,Agents Created in Prod or Sandbox,1K,0K,Premier
0013y00001f8lazAAA,Grit Marketing,,0M,0M,0M,0M,Purchased SKU,1K,0K,Premier
0010M00001WY3PuQAL,Brown & Crouppen,,0M,−,0M,0M,Purchased SKU,1K,0K,Basic
0013000000FdceLAAR,Wipro Limited,,0M,−,−,−,Purchased SKU,1K,0K,Premier
001ed000004Wg3SAAS,Morningstar Corporate Data Cloud,,0M,0M,,0M,Purchased SKU,1K,0K,Premier
0013y00001eqK9NAAU,Imperative Logistics,,0M,0M,−,0M,Purchased SKU,1K,0K,Premier
0010M00001QldlqQAB,VRP,,0M,0M,−,0M,Agents Created in Prod or Sandbox,1K,0K,Basic
0010M00001ULZPzQAP,Luxury Presence,,0M,−,−,−,Purchased SKU,0K,0K,Basic
0010000000025oiAAA,"Q International Courier, LLC",,0M,−,-0M,-0M,Agents Created in Prod or Sandbox,1K,0K,Premier
0010M00001PE0Q1QAL,Aurora Solar Inc.,,0M,−,0M,0M,Agents Used in Prod,1K,0K,Premier
001ed00000hdokGAAQ,"Roku, Inc.",,−,−,−,−,Purchased SKU,0K,"3,000K",Premier
001ed00000dgIV9AAM,Teleperformance Group,,−,−,,−,Purchased SKU,0K,100K,Basic
001ed00000XnL3YAAV,Churchill Downs Racetrack - New Org,,−,−,,−,Purchased SKU,0K,"3,000K",Signature
001ed00000Sf19hAAB,Nasuni,,−,−,−,−,Purchased SKU,0K,"5,000K",Premier
001ed00000DZtJtAAL,"Versant Media, LLC",,−,0M,−,0M,Purchased SKU,0K,"20,100K",Premier
0013y00001h1cW6AAI,Rubrik (Partner Portal),,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
0013y00001fbfUSAAY,Genpact Limited,,−,−,−,1M,Agents Created in Prod or Sandbox,0K,100K,Basic
0013y00001fWE9qAAG,"Metro Fibernet, LLC",,−,−,−,−,Purchased SKU,0K,"4,083K",Signature
0013y00001fT24VAAS,"Bamboo Health, Inc - Health Cloud Org",,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
0013y00001ej351AAA,Top Tier Solar Solutions,,−,−,−,−,Agents Activated in Prod,0K,100K,Basic
0013y00001dLwIcAAK,Anthropic,Jesus Sanchez,−,−,−,−,Agents Used in Prod,0K,"1,000K",Premier
0013y00001crNxhAAE,Solera Corporate,,−,−,0M,0M,Agents Created in Prod or Sandbox,0K,100K,Premier
0013y00001cp47HAAQ,Transformational Innovative Solutions LLC,,−,−,,−,Agents Used in Prod,0K,100K,Basic
0013y00001cb669AAA,"Oath Holdings, LLC",,−,−,0M,0M,Agents Used in Prod,0K,100K,Signature
0013y00001c7BeoAAE,Bain & Company - Main (Cortex),,−,−,0M,1M,Agents Created in Prod or Sandbox,0K,100K,Signature
0013y00001c6lqNAAQ,Summit Broadband Inc.***,,−,−,−,−,Purchased SKU,0K,100K,Basic
0013000001NXlJ0AAL,People.ai,,−,−,0M,0M,Purchased SKU,0K,100K,Basic
0013000001MehivAAB,SimpleLegal,,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
0013000001J6NtXAAV,Index Exchange,,−,−,−,−,Agents Used in Prod,0K,100K,Basic
0013000001GUTAtAAP,Forrest Solutions Group - PRIMARY ORG*,,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Basic
0013000001CAU89AAH,Intuit Inc.,,−,−,−,2M,Purchased SKU,0K,0K,Signature
0013000001CAFfhAAH,Asana,,−,−,−,0M,Agents Created in Prod or Sandbox,0K,"2,500K",Premier
00130000016jribAAA,Formstack,,−,−,,0M,Purchased SKU,0K,100K,Premier
00130000016j5bjAAA,Pax8,,−,−,−,0M,Agents Used in Prod,0K,"5,250K",Signature
00130000016iUQXAA2,Tredence Inc,,−,−,−,−,Purchased SKU,0K,100K,Basic
00130000016iP2jAAE,Construct Capital LLC,,−,−,,−,Purchased SKU,0K,100K,Basic
00130000016hsajAAA,Blackbaud,,−,−,−,1M,Agents Used in Prod,0K,"11,200K",Premier
00130000016gwSOAAY,"Bounteous, Inc.",,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Basic
0013000000rqtDYAAY,Waltonen Engineering,,−,−,0M,0M,Purchased SKU,0K,100K,Premier
0013000000roQBKAA2,Staley Technologies,,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
0013000000hMQa7AAG,Milwaukee Bucks,,−,0M,−,0M,Purchased SKU,0K,500K,Premier
0013000000hL5MsAAK,Opengear,,−,−,−,−,Agents Used in Prod,0K,100K,Premier
0013000000hKqBcAAK,Marketsource-AvayaAT&T-Sales Center,Taylor DiVincenzo,−,0M,,0M,Agents Used in Prod,3K,0K,Premier
0013000000RYOekAAH,Sharp Electronics Corporation - SIICA,,−,−,0M,0M,Agents Used in Prod,0K,100K,Premier
0013000000NQzAuAAL,Abstrakt #1,,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
0013000000NQuw5AAD,Ambry Genetics Corporation,,−,−,−,−,Purchased SKU,0K,100K,Basic
0013000000NPjicAAD,Twilio,,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
0013000000K7ZGkAAN,"Curriculum Associates, LLC",,−,−,−,−,Purchased SKU,0K,100K,Premier
0013000000K6amFAAR,Kaltura,,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
0013000000IkcguAAB,"RE/MAX, LLC",,−,−,−,−,Purchased SKU,0K,200K,Signature
0013000000INfZDAA1,Karmak Inc.,,−,−,−,−,Purchased SKU,0K,100K,Basic
0013000000GJHgXAAX,"Ontario Systems, LLC DBA Finvi",,−,−,−,−,Purchased SKU,0K,100K,Premier
0013000000GInT4AAL,"Momentum Telecom, Inc.",,−,−,−,−,Purchased SKU,0K,100K,Premier
0013000000Em8v9AAB,Waystar Health,,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
00130000007sVUAAA2,"Bazaarvoice, Inc.",,−,−,−,−,Purchased SKU,0K,100K,Premier
00130000007ZHBOAA4,"HealthEdge Software, Inc. (Active)",,−,−,−,0M,Purchased SKU,0K,100K,Premier
00130000007Ela7AAC,"United Site Services, Inc.",,−,−,0M,1M,Agents Created in Prod or Sandbox,0K,100K,Signature
00130000004Iw5xAAC,Basis,,−,−,−,0M,Agents Created in Prod or Sandbox,0K,100K,Premier
00130000004CtvCAAS,Access Information Management,,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
001300000043S2MAAU,ESO,,−,−,−,−,Purchased SKU,0K,"1,014K",Premier
00130000003NevxAAC,Xerox Corporation,,−,−,−,1M,Agents Used in Prod,0K,200K,Signature
00130000002xdmxAAA,CFA Institute HQ,Amy Ng,−,0M,0M,0M,Purchased SKU,0K,"4,300K",Premier
00130000002BwSNAA0,"Zimbra, Inc.",,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
00130000001zdVSAAY,World Wide Technology,,−,−,−,0M,Agents Created in Prod or Sandbox,0K,100K,Premier
00130000001qNp5AAE,"Integrated Decisions and Systems, Inc.",,−,0M,−,0M,Purchased SKU,0K,"10,100K",Signature
00130000001evRVAAY,"H. Betti Industries, Inc.",,−,−,−,−,Agents Used in Prod,0K,100K,Premier
00130000000mvuJAAQ,"LocumTenens.com, LLC",,−,−,−,0M,Agents Created in Prod or Sandbox,0K,100K,Signature
00130000000jwXPAAY,"United Rentals, Inc.*",,−,0M,−,1M,Purchased SKU,0K,"1,100K",Premier
00130000000HPWVAA4,Equinox Fitness Clubs,,−,0M,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,"19,500K",Premier
00130000000Csl8AAC,Fortna Inc.,,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
001300000006WEmAAM,Irvine Management Company - Office and Retail,,−,−,−,−,Agents Created in Prod or Sandbox,0K,100K,Premier
0010M00001YtwnbQAB,Cinterra,,−,−,,−,Purchased SKU,0K,100K,Basic
0010M00001YtrWPQAZ,George P. Johnson - Call Center,,−,−,0M,0M,Agents Used in Prod,0K,100K,Premier
0010M00001YFcCwQAL,Greenlight Guru,,−,−,−,−,Agents Used in Prod,0K,100K,Premier
0010M00001WaOZ8QAN,Irvine Management Company - Apartments,,−,−,−,−,Agents Used in Prod,0K,100K,Premier
0010M00001WOTXbQAP,Inter Miami CF,,−,−,−,−,Agents Used in Prod,0K,100K,Premier
0010M00001WORCbQAP,FOX Corporation,,−,−,−,0M,Purchased SKU,0K,0K,Basic
0010M00001WOQvLQAX,"Discovery Education, Inc (UE)",,−,−,−,−,Agents Used in Prod,0K,100K,Premier
0010M00001W7zJcQAJ,"Fussball Club Cincinnati, LLC",,−,−,−,−,Purchased SKU,0K,100K,Premier
0010M00001VKhewQAD,Personify Health (Health Cloud org),,−,−,−,−,Purchased SKU,0K,100K,Premier
0010M00001V4EdRQAV,KPI Integrated Solutions,,−,−,,−,Purchased SKU,0K,100K,Premier
0010M00001UVVMEQA5,S&P Global Indices,,−,−,−,−,Agents Activated in Prod,0K,100K,Premier
0010M00001SJNaZQAX,GRAPH Strategy LLC,,−,−,−,−,Purchased SKU,0K,100K,Basic
0010M00001QqkGhQAJ,OUTFRONT Media LLC,,−,−,−,−,Purchased SKU,0K,"5,000K",Premier
0010M00001QnLbvQAF,BigID Inc,,−,−,−,0M,Purchased SKU,0K,0K,Premier
0010M00001QlSUOQA3,Compunnel Software Group (2nd Org),,−,−,−,−,Purchased SKU,0K,100K,Basic
0010M00001QaUJGQA3,Milan Laser Hair Removal,,−,−,−,−,Purchased SKU,0K,100K,Signature
0010M00001QaQftQAF,Rapid7,,−,−,−,−,Purchased SKU,0K,100K,Signature
0010M00001QaEj4QAF,Daniels Health (US HQ),,−,−,−,−,Agents Used in Prod,0K,100K,Basic
00100000001sf7lAAA,Learning A-Z,,−,−,−,−,Agents Used in Prod,0K,100K,Basic
00100000001j0cPAAQ,Altice USA (formerly Cablevision) - Residential,,−,−,−,1M,Agents Created in Prod or Sandbox,0K,"2,500K",Signature
00100000000nEClAAM,Ellucian Company (PARENT),,−,0M,−,0M,Agents Created in Prod or Sandbox,0K,100K,Premier
001000000001hxIAAQ,NetDocuments*,,−,−,−,1M,Agents Used in Prod,0K,100K,Premier
001ed00000kuUfLAAU,Argano (POC Org),,,−,,−,Purchased SKU,0K,"1,000K",Premier
0010M00001YzxKvQAJ,SIRA Consulting Inc,,,0M,,0M,Purchased SKU,0K,"3,600K",Premier
0010M00001YzxKvQAJ,SIRA Consulting Inc,,,0M,,0M,Purchased SKU,0K,"3,600K",Premier
