ACCT_ID_18,ACCOUNT_ID,ACCOUNT_NAME,IS_PROVISIONED,INTERNALDATAPIPELINE,STREAMINGCI,STREAMINGACTIONS,Activate DMO - Streaming,BATCHCI,BATCHPROFILEUNIFICATION,SUBSECONDREALTIMEEVENTS,INFERENCEENGINE,BATCHINGEST,ACCELERATEDQUERIES,DATAQUERIES,STREAMTRANSFORM,DATASHARESCHANGED,REALTIMEPROFILEAPI,BATCHTRANSFORM,SEGMENTS,DATASHARESACCESSED,STREAMINGEST,BATCHACTIVATIONPROCESSED,PRIVATECONNECTDATAPROCESSED,UNSTRUCTUREDDATAPROCESSED
0013000001GjlltAAB,0013000001Gjllt,"NEC Solution Innovators, Ltd.",Y,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
0013000001GjnPGAAZ,0013000001GjnPG,Data Centre Dynamics Ltd,Y,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No
0013000001GjtSuAAJ,0013000001GjtSu,SkipTheDishes (USE),Y,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No
0013000001Gjv1xAAB,0013000001Gjv1x,Sisap,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GjzWaAAJ,0013000001GjzWa,3B2 Solutions,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001Gk2i1AAB,0013000001Gk2i1,Funding Circle Ltd,Y,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
0013000001Gk46YAAR,0013000001Gk46Y,PETRONAS DIGITAL SDN BHD,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
0013000001Gk4YrAAJ,0013000001Gk4Yr,SMG Swiss Marketplace Group AG,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001Gk4k6AAB,0013000001Gk4k6,"Vertex co., ltd.",Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkDRtAAN,0013000001GkDRt,SMA Solar Technology AG,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001GkFUSAA3,0013000001GkFUS,"KYOCERA Communication Systems Co., Ltd.【KDAU組織】",Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001GkFZ3AAN,0013000001GkFZ3,Nihon DICS Ltd.,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkFi5AAF,0013000001GkFi5,WAO CORPORATION,N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkFkQAAV,0013000001GkFkQ,MAYA INNOVATIONS HOLDINGS PTE. LTD,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
0013000001GkIfIAAV,0013000001GkIfI,REDPOINTS,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001GkJ7pAAF,0013000001GkJ7p,GDP Vendôme,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkKotAAF,0013000001GkKot,UNIVA Paycast Limited,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
0013000001GkNp6AAF,0013000001GkNp6,Signor Prestito SpA,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkNymAAF,0013000001GkNym,Integrated Musculoskeletal Care,Y,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
0013000001GkO41AAF,0013000001GkO41,LCA Systems,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001GkQZKAA3,0013000001GkQZK,Axpo Services AG,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001GkQh9AAF,0013000001GkQh9,D-Lux Concept NV,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkRHvAAN,0013000001GkRHv,"V Opco, LLC",Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkSdGAAV,0013000001GkSdG,YourLand Developments,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkUT2AAN,0013000001GkUT2,Tapstone,Y,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkUqfAAF,0013000001GkUqf,Core Concept Technologies Inc.,Y,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
0013000001GkUs2AAF,0013000001GkUs2,freee K.K.,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkVsNAAV,0013000001GkVsN,"W.P. Carey, Inc. (Main Org)",Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkYPpAAN,0013000001GkYPp,Trajan Wealth LLC,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes
0013000001Gkg48AAB,0013000001Gkg48,Orium (Formerly Myplanet),Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkgIWAAZ,0013000001GkgIW,IMDEX Limited,Y,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No
0013000001GkgLBAAZ,0013000001GkgLB,Diversified Communications Australia,Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkghHAAR,0013000001GkghH,Tama Group,Y,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
0013000001Gkkv8AAB,0013000001Gkkv8,Patch Media (Planck LLC),Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001GkonxAAB,0013000001Gkonx,"itsumo.inc,",Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
0013000001GkpsIAAR,0013000001GkpsI,EquityZen,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001Gl309AAB,0013000001Gl309,IMDAD FZCO,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes
0013000001Gl3DeAAJ,0013000001Gl3De,Philipp Plein International / Cream della Cream,Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
0013000001Gl3HWAAZ,0013000001Gl3HW,Bangchak Corporation Public Company Limited,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001Gl4VrAAJ,0013000001Gl4Vr,"COACT Associates, LTD",Y,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No
0013000001Gl6A9AAJ,0013000001Gl6A9,Tnuva,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No
0013000001Gl7MGAAZ,0013000001Gl7MG,Arvig,Y,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
0013000001HdhbSAAR,0013000001HdhbS,TRX Now / Allied Dispatch Solutions,N,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001Hdi29AAB,0013000001Hdi29,Quiqup Delivery Llc,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001Hdy2yAAB,0013000001Hdy2y,"Health Choice Network of Florida, Inc.",Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001He02DAAR,0013000001He02D,DE-CIX Management GmbH (eco - Verband der deutschen Internetwirtschaft e.V.),Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001He2nrAAB,0013000001He2nr,"PLAN-B Co.,Ltd.",Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
0013000001He5qkAAB,0013000001He5qk,SAFECHEM Europe GmbH,N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001He5wTAAR,0013000001He5wT,NETERRA EOOD,Y,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No
0013000001He9ZhAAJ,0013000001He9Zh,Elea Foundation,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes
0013000001HeC2HAAV,0013000001HeC2H,Vintage Travel,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeC4XAAV,0013000001HeC4X,Power Saving Solutions,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeDmMAAV,0013000001HeDmM,Crain Communications,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
