ACCT_ID_18,CNTRY_COMBO_ID,GLOBAL_CO_COMBO_ID,ACCT_NM,PRODUCT_TYPE,TOTAL_NCR,FY24Q1,FY24Q2,FY24Q3,FY24Q4,FY25Q1,FY25Q2,FY25Q3,FY25Q4,FY26Q1,FY26Q2,FY26Q3,FY26Q4
0013000001L6Gf0AAF,aBR3y000000gFX3GAM,aBR3y000000gG6vGAE,TeleHealth MSO / WellPsyche,Agentforce,41.4,0,0,0,0,0,0,0,0,0,32.4,9,0
0013000001L6Gf0AAF,aBR3y000000gFX3GAM,aBR3y000000gG6vGAE,TeleHealth MSO / WellPsyche,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6GlmAAF,0013000001L6GlmAAF,0013000001L6GlmAAF,J. Marc Lewis & Associates,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6Gw8AAF,0013000001L6Gw8AAF,aBR3y00000111iYGAQ,"Kao Industrial (Thailand) Co., Ltd.",DataCloud,6430.218678,0,0,0,0,0,0,0,46.85027797,2148.098029,1453.292533,1604.067991,1177.909847
0013000001L6HgaAAF,aBR3y0000004n5xGAA,aBR3y00000112XiGAI,WeTransfer B.V.,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6HoFAAV,aBR3y000000bt8GGAQ,0013000001L6HoFAAV,Prosumia,DataCloud,0.001803654,0,0,0,0,0,0,0,0.0017676162,0.0000315462,0.0000044916,0,0
0013000001L6ItaAAF,aBR3y000000CkYgGAK,aBR3y000000wtfZGAQ,Top-Light GmbH & Co. KG,DataCloud,0.0010215502,0,0,0,0,0,0,0,0,0.0010204441,0.0000003687,0.0000003687,0.0000003687
0013000001L6J7vAAF,aBR3y000000wqa5GAA,aBR3y0000008s8hGAA,Mandata Ltd,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6J9OAAV,aBR300000004FwlGAE,aBR300000008T6CGAU,Intertek Group Plc,Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6J9OAAV,aBR300000004FwlGAE,aBR300000008T6CGAU,Intertek Group Plc,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6JAyAAN,aBR30000000XlabGAC,aBR300000004UWBGA2,S&P Global Inc.,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6JBHAA3,aBR3y000000bt4TGAQ,aBR3y000000cDd3GAE,MetaCompliance Ltd,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6JG3AAN,aBRed000000GUjkGAG,aBRed000000GmATGA0,Veigel GmbH + Co. KG,Agentforce,6.12866688,0,0,0,0,0,0,0,0,0,0,0,6.12866688
0013000001L6JG3AAN,aBRed000000GUjkGAG,aBRed000000GmATGA0,Veigel GmbH + Co. KG,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6JlzAAF,aBR3y000000XqtMGAS,aBR3y000000yIDRGA2,MCR Systems Ltd (JG),DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6JsZAAV,aBR0M00000007KMWAY,aBR0M00000008tdWAA,Yorkshire Housing Ltd,Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6JsZAAV,aBR0M00000007KMWAY,aBR0M00000008tdWAA,Yorkshire Housing Ltd,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6JseAAF,aBR3y000000HAYKGA4,aBR0M000000LDXJWA4,New10 B.V.,DataCloud,6.049645473,0,0,0,0,0,0.0035892875,0.0046223414,0.1644239406,0.2044401545,1.763273075,3.011803906,0.8974927678
0013000001L6KFqAAN,aBR300000004GB6GAM,aBR0M000000bmDvWAI,Vetted Limited,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6KIfAAN,aBR30000000Xf96GAC,aBR30000000Kz2DGAS,MAXON Computer GmbH,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6LY7AAN,aBR3y0000004lcgGAA,aBRed0000000QovGAE,GRAU Data GmbH,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6MQcAAN,aBR300000004FyTGAU,aBR3y00000111NlGAI,Vanquis Bank Limited,Agentforce,2923.703515,0,0,0,0,0,0,0,0,0,0,0,2923.703515
0013000001L6MQcAAN,aBR300000004FyTGAU,aBR3y00000111NlGAI,Vanquis Bank Limited,DataCloud,18844.23327,0,0,0,0,0,0,0,24.72241823,1676.226158,1316.882824,15096.4849,729.9169689
0013000001L6N1nAAF,aBR30000000XcOHGA0,aBR3y000001120uGAA,Austrian Post International Deutschland GmbH,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6OO2AAN,0013000001L6OO2AAN,aBR3y00000111jtGAA,Futuresource Consulting,DataCloud,8.446851958,0,0,0,0,0,0,6.481862929,0.1843699739,0.9232887736,0.3581655817,0.3486021925,0.1505625077
0013000001L6OTKAA3,aBR3y0000000OB6GAM,aBR3y000000yTswGAE,ICOTEK GmbH & Co. KG,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6OevAAF,aBR3y000000bus9GAA,aBR3y000000y5X4GAI,Infotopics B.V.,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6OewAAF,0013000001L6OewAAF,aBR3y00000111wOGAQ,Infozorg BV,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6OtKAAV,aBR3y000000yeXRGAY,aBR3y000000wtfyGAA,Ingentis Holding GmbH,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6PwUAAV,aBRed000000wKWHGA2,aBRed000000w8V8GAI,OmnyTop B.V.,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6SITAA3,aBR30000000L6BJGA0,aBR3y000000LEagGAG,"TOBE MARKETING, INC.",Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6SITAA3,aBR30000000L6BJGA0,aBR3y000000LEagGAG,"TOBE MARKETING, INC.",DataCloud,330.062796,0,0,0,0,0,0,0,0,17.85229162,67.51171881,98.21816289,146.4806226
0013000001L6SP0AAN,0013000001L6SP0AAN,aBR3y000000g58LGAQ,Savvy Ladies,Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6SP0AAN,0013000001L6SP0AAN,aBR3y000000g58LGAQ,Savvy Ladies,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6SPPAA3,aBR30000000XikZGAS,aBR3y000000xD24GAE,Servicios Nutresa S A S,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6SRNAA3,0013000001L6SRNAA3,0013000001L6SRNAA3,The B Team Headquarters,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6SSzAAN,aBR3y0000004pgaGAA,aBR3y00000110ghGAA,CREXi,Agentforce,2.2,0,0,0,0,0,0,0,2.2,0,0,0,0
