,,Agentforce Funnel

,,Success Plan,*
,,CL Influence,*

,,,*,FINS,HLS,CAN,TMT,CBS,MAE,RCG,UKI,FRANCE,CENTRAL,SOUTH,NORTH,ANZ,LATAM,JP,SASIA,GPS,SMB
,,,Total,FINS,HLS,CAN,TMT,CBS,MAE,RCG,UKI,FRANCE,CENTRAL,SOUTH,NORTH,ANZ,LATAM,JP,SASIA,GPS,SMB
,0,No SKU Purchased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,No SKU Purchased,0,0
,1,Purchased SKU,"3,363",88,86,42,109,84,99,39,114,141,117,131,84,91,129,269,0,319,"1,298",,,,Purchased SKU,"3,363",129
,2,Agents Created in Prod or Sandbox,"1,649",68,65,26,108,59,72,27,61,43,94,80,66,55,58,203,0,120,382,,,,Agents Created in Prod or Sandbox,"1,649",58
,3,Agents Activated in Prod,390,2,10,2,8,15,11,1,8,3,12,5,16,9,12,56,0,12,175,,,,Agents Activated in Prod,390,12
,4,Agents Used in Prod,"1,700",45,37,20,103,61,71,23,46,41,43,94,57,58,77,211,0,71,575,,,,Agents Used in Prod,"1,700",77
,5,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),278,10,5,9,27,15,6,17,8,8,7,29,8,15,37,4,0,14,49,,,,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),278,37
,,Provisioned,"7,380",213,203,99,355,234,259,107,237,236,273,339,231,228,313,743,0,536,"2,479",,,,Provisioned,"7,380",313
,,Agents Created in Prod or Sandbox,"4,017",125,117,57,246,150,160,68,123,95,156,208,147,137,184,474,0,217,"1,181",,,,Agents Created in Prod or Sandbox,"4,017",184
,,Agents Activated in Prod,"2,368",57,52,31,138,91,88,41,62,52,62,128,81,82,126,271,0,97,799,,,,Agents Activated in Prod,"2,368",126
,,Agents Used in Prod,"1,978",55,42,29,130,76,77,40,54,49,50,123,65,73,114,215,0,85,624,,,,Agents Used in Prod,"1,978",114
,,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),278,10,5,9,27,15,6,17,8,8,7,29,8,15,37,4,0,14,49,,,,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),278,37
,,Provisioned,"7,380",213,203,99,355,234,259,107,237,236,273,339,231,228,313,743,0,536,"2,479",,,,Provisioned,"7,380",313
,,Agents Created in Prod or Sandbox,"4,017 (54%)",125 (59%),117 (58%),57 (58%),246 (69%),150 (64%),160 (62%),68 (64%),123 (52%),95 (40%),156 (57%),208 (61%),147 (64%),137 (60%),184 (59%),474 (64%),0 (-),217 (40%),1181 (48%),,,,Agents Created in Prod or Sandbox,"4,017 (54%)",184 (59%)
,,Agents Activated in Prod,"2,368 (32%)",57 (27%),52 (26%),31 (31%),138 (39%),91 (39%),88 (34%),41 (38%),62 (26%),52 (22%),62 (23%),128 (38%),81 (35%),82 (36%),126 (40%),271 (36%),0 (-),97 (18%),799 (32%),,,,Agents Activated in Prod,"2,368 (32%)",126 (40%)
,,Agents Used in Prod,"1,978 (27%)",55 (26%),42 (21%),29 (29%),130 (37%),76 (32%),77 (30%),40 (37%),54 (23%),49 (21%),50 (18%),123 (36%),65 (28%),73 (32%),114 (36%),215 (29%),0 (-),85 (16%),624 (25%),,,,Agents Used in Prod,"1,978 (27%)",114 (36%)
,,Consistently Using ,278 (4%),10 (5%),5 (2%),9 (9%),27 (8%),15 (6%),6 (2%),17 (16%),8 (3%),8 (3%),7 (3%),29 (9%),8 (3%),15 (7%),37 (12%),4 (1%),0 (-),14 (3%),49 (2%),,,,Consistently Using ,278 (4%),37 (12%)
,,** Consistently using: (Past Three Weeks 50+ Convos or 150+ Actions)
,,Data refreshed as of: 1/12

,,BU ,ANZ
,,OU,*
,,Success Plan,*
,,CL Influence,*

,,,*,10. <1K,09. 1K-10K,08. 10K-50K,07. 50K-100K,06. 100K-500K,05. 500K-1M,04. 1M-5M,03. 5M-10M,02. 10M-25M,01. >25M
,,AOV Band,Total,<1K,1K-10K,10K-50K,50K-100K,100K-500K,500K-1M,1M-5M,5M-10M,10M-25M,>25M,,AOV Band,Total,<10K,10K-50K,50K-100K,100K+
,0,No SKU Purchased,0,0,0,0,0,0,0,0,0,0,0,,No SKU Purchased,0,0,0,0,0
,1,Purchased SKU,91,59,21,6,3,1,0,1,0,0,0,,Purchased SKU,91,80,6,3,2
,2,Agents Created in Prod or Sandbox,55,27,8,11,1,8,0,0,0,0,0,,Agents Created in Prod or Sandbox,55,35,11,1,8
,3,Agents Activated in Prod,9,4,3,1,0,1,0,0,0,0,0,,Agents Activated in Prod,9,7,1,0,1
,4,Agents Used in Prod,58,18,16,19,4,1,0,0,0,0,0,,Agents Used in Prod,58,34,19,4,1
,5,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),15,0,6,6,1,2,0,0,0,0,0,,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),15,6,6,1,2
,,Provisioned,228,108,54,43,9,13,0,1,0,0,0,,Provisioned,228,162,43,9,14
,,Agents Created in Prod or Sandbox,137,49,33,37,6,12,0,0,0,0,0,,Agents Created in Prod or Sandbox,137,82,37,6,12
,,Agents Activated in Prod,82,22,25,26,5,4,0,0,0,0,0,,Agents Activated in Prod,82,47,26,5,4
,,Agents Used in Prod,73,18,22,25,5,3,0,0,0,0,0,,Agents Used in Prod,73,40,25,5,3
,,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),15,0,6,6,1,2,0,0,0,0,0,,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),15,6,6,1,2
,,Provisioned,228,108,54,43,9,13,0,1,0,0,0,,Provisioned,228,162,43,9,14
,,Agents Created in Prod or Sandbox,137 (60%),49 (45%),33 (61%),37 (86%),6 (67%),12 (92%),0 (-),0 (0%),0 (-),0 (-),0 (-),,Agents Created in Prod or Sandbox,137 (60%),82 (51%),37 (86%),6 (67%),12 (86%)
,,Agents Activated in Prod,82 (36%),22 (20%),25 (46%),26 (60%),5 (56%),4 (31%),0 (-),0 (0%),0 (-),0 (-),0 (-),,Agents Activated in Prod,82 (36%),47 (29%),26 (60%),5 (56%),4 (29%)
,,Agents Used in Prod,73 (32%),18 (17%),22 (41%),25 (58%),5 (56%),3 (23%),0 (-),0 (0%),0 (-),0 (-),0 (-),,Agents Used in Prod,73 (32%),40 (25%),25 (58%),5 (56%),3 (21%)
,,Consistently Using ,15 (7%),0 (0%),6 (11%),6 (14%),1 (11%),2 (15%),0 (-),0 (0%),0 (-),0 (-),0 (-),,Consistently Using ,15 (7%),6 (4%),6 (14%),1 (11%),2 (14%)
,,Allowance: Conversations,3M,0.01M,0.11M,0.64M,0.39M,1.57M,−,−,−,−,−,,Allowance: Conversations,3M,0.1M,0.6M,0.4M,1.6M
,,Allowance: Flex Credits,"1,374M",53.56M,90.43M,249.74M,337.50M,643.03M,−,−,−,−,−,,Allowance: Flex Credits,"1,374M",144M,250M,338M,643M
,,Actions Prod,0.45M,0.01M,0.07M,0.17M,0.02M,0.17M,−,−,−,−,−,,Actions Prod,0.4M,0.1M,0.2M,0.0M,0.2M
,,** Consistently using: (Past Three Weeks 50+ Convos or 150+ Actions)
,,Data refreshed as of: 1/12

,,BU ,ANZ
,,OU,*

,,CL Covered,*,*,*,*,Y
,,Success Plan,*,Basic,Premier,Signature,*
,,AOV Band,Total,Basic,Premier,Signature ,CL Covered
,0,No SKU Purchased,0,0,0,0,0
,1,Purchased SKU,91,40,43,8,3
,2,Agents Created in Prod or Sandbox,55,11,30,14,10
,3,Agents Activated in Prod,9,2,6,1,1
,4,Agents Used in Prod,58,14,41,3,5
,5,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),15,2,10,3,7
,,Provisioned,228,69,130,29,26
,,Agents Created in Prod or Sandbox,137,29,87,21,23
,,Agents Activated in Prod,82,18,57,7,13
,,Agents Used in Prod,73,16,51,6,12
,,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),15,2,10,3,7
,,Provisioned,228,69,130,29,26
,,Agents Created in Prod or Sandbox,137 (60%),29 (42%),87 (67%),21 (72%),23 (88%)
,,Agents Activated in Prod,82 (36%),18 (26%),57 (44%),7 (24%),13 (50%)
,,Agents Used in Prod,73 (32%),16 (23%),51 (39%),6 (21%),12 (46%)
