ACCT_ID_18,ACCT_NM,COMBO_COMPANY_ID_18,CY_AFDC_AOV,CY_DC_AOV,CY_DC_C360_AOV,CY_DC_MKT_AOV,CY_DC_C360_AO_AOV,CY_DC_MKT_AO_AOV,CY_DC_CDP_AOV,Legacy CDP
0010M00001WJMwYQAX,S&P Global - Executive Org,aBR300000004DJlGAM,333195.7117,183332.573,183332.573,0,0,0,0,Other
0013000001JyriPAAR,Frontiers Media SA,aBR0M000000GmtKWAS,1012801.425,552337.1284,0,537418.2021,0,14918.9263,0,Other
0013000000Zj83MAAR,"LEAVE A NEST CO.,LTD.",aBR3y000000kDC0GAM,161.7072,161.7072,161.7072,0,0,0,0,Other
0013000000ZlK9bAAF,Audi of America,aBR300000004Df2GAE,2550,2550,2550,0,0,0,0,Other
001ed00000mGGq0AAG,GYEONGGI BUSINESS & SCIENCE ACCELERATOR,aBR30000000L7k1GAC,5000,1000,1000,0,0,0,0,Other
00130000008eaEQAAY,KOMORI Corporation,aBR3y000000fyd3GAA,39173.5692,32988.2688,32988.2688,0,0,0,0,Other
0010M00001UEcB5QAL,A2A Energia S.p.A.,aBR300000004NjSGAU,156716.3285,139739.9161,76151.9161,0,63588,0,0,Other
0010M00001QaTD2QAN,SOK CRM,aBR300000004MUcGAM,2408.7849,767.1777,767.1777,0,0,0,0,Other
0013000000roz4rAAA,BERNINA International AG,aBR300000004N22GAE,10820.0155,10820.0155,0,10820.0155,0,0,0,Other
0013000001CBWfOAAX,Miami-Dade County - DC / MC / Slack,aBR3y000000LJAjGAO,374436.32,329560,329560,0,0,0,0,Other
0013000001HgccGAAR,Lexbase,0013000001HgccGAAR,5330.3554,5330.3554,5330.3554,0,0,0,0,Other
0010M00001WkttWQAR,"Organon, LLC",aBR3y000000sZKFGA2,335288.7315,189038.7315,0,165038.7315,0,24000,0,Other
0010M00001YtwTbQAJ,YPF S.A 2,aBR0M000000L8xRWAS,36204.576,12000,12000,0,0,0,0,Other
0010M00001VKbtvQAD,IG Index Limited,aBR30000000XlGRGA0,346240.3172,295566.095,0,223883.542,0,71682.553,0,Other
0013000001L6i2DAAR,"Cantor Fitzgerald Technology Markets, LLC",aBR300000004OI4GAM,60266.9771,6696.3308,6696.3308,0,0,0,0,Other
0013y00001eDPkSAAW,CMFG Life Insurance Company,aBR3y000000H6qOGAS,2810207.264,2810207.264,0,2587904.624,0,222302.64,0,Other
0013000000hIkuVAAS,orderbird GmbH,aBR3y000000yegAGAQ,55012.0813,55012.0813,53188.0733,1824.008,0,0,0,Other
0013y00001cg0MYAAY,Flashlight Learning,0013y00001cg0MYAAY,40780,40380,39000,0,1380,0,0,Other
0013y00001erIXAAA2,QuidelOrtho - Project Quantum Org,aBR300000004XYzGAM,13376,13376,12600,776,0,0,0,Other
00130000001g8VbAAI,"PODS Enterprises, LLC",aBR300000004EpuGAE,637426,637426,637426,0,0,0,0,Other
0013y00001gDO7FAAW,Banque Lombard Odier & Cie SA,aBR30000000L0WiGAK,5396.0472,5396.0472,2186.8126,1020.5126,0,2188.722,0,Other
0013000000NRcPLAA1,Changi Airport Group (Singapore) Pte. Ltd.,aBR3y000000Com1GAC,28052,19552,19276,0,276,0,0,Other
0013y00001cTJHDAA4,Consensus Cloud Solutions LLC,aBR3y000000PCtBGAW,163348.6596,163348.6596,163348.6596,0,0,0,0,Other
0010M00001WZrinQAD,UTI Asset Management Company Ltd,aBR3y000000XqyIGAS,75485.065,75485.065,0,68613.4868,0,6871.5782,0,Other
0013000000Zmi1kAAB,Prudential Assurance Company Singapore (Pte) Limited,aBR3y0000000Gp8GAE,129907.6202,129907.6202,0,111907.6202,0,18000,0,Other
0013000001CCu4NAAT,Bluecurrent NZ Limited,aBR30000000026oGAA,108000,108000,108000,0,0,0,0,Other
0010M00001WYwfeQAD,"Current Lighting Solutions, LLC",aBR3y0000004om6GAA,66585.4209,66585.4209,66585.4209,0,0,0,0,Other
0013y00001bezLYAAY,VALGROUP (Org 2),aBR3y000000CoPIGA0,42207.8348,27133.6081,27133.6081,0,0,0,0,Other
0013y00001d7J4CAAU,"FBG Enterprises OPCO, LLC",aBR3000000002JjGAI,19100,7500,7500,0,0,0,0,Other
0013000001GW5FFAA1,Turnberry Solutions (ThreeBridge Solutions),aBR3y000000Cfb4GAC,47457.9115,8343.6323,8067.6323,0,276,0,0,Other
0013000001GWf6HAAT,Groupe Nordik,0013000001GWf6HAAT,98346.2446,84040.6156,0,84040.6156,0,0,0,Other
0010M00001WaXhDQAV,BEC Financial Technologies a.m.b.a. (Faster Andelskasse),aBR0M000000Cda5WAC,1927.2469,1462.1249,291.8413,145.9207,1024.3629,0,0,Other
00130000002xe5pAAA,Ben Bridge Jeweler Inc.,aBR0M000000bmb3WAA,73500,73500,45000,0,22500,6000,0,Other
0013000000royd9AAA,University of Cincinnati Foundation,aBR30000000PBHGGA4,649.6441,249.8631,249.8631,0,0,0,0,Other
0013y00001emYVLAA2,jaegerdrei solutions gmbh,0013y00001emYVLAA2,451.442,451.442,0,0,451.442,0,0,Other
0013y00001cYFysAAG,"Herzing University, Ltd",aBR300000004XyAGAU,106085.8586,106085.8586,0,106085.8586,0,0,0,Other
0013000000IkoJ1AAJ,Iplan Networks,aBR3y000000HE2JGAW,58365,58365,46365,0,0,12000,0,Other
0010M00001S96otQAB,"CentralSquare Technologies, LLC",aBR0M000000Xon9WAC,176769.96,176769.96,0,0,0,0,0,Legacy CDP
0013000000Zkf5pAAB,Trustpilot A/S,aBR3y000000HDE4GAO,324550,39750,39750,0,0,0,0,Other
0013000001MimMZAAZ,Mirai Works Inc.,0013000001MimMZAAZ,2929.1329,2929.1329,2929.1329,0,0,0,0,Other
0013y00001fFEHhAAO,UNIFIED COMMS SOLUTIONS SL,aBR3y0000004lhLGAQ,4487.0597,547.2024,547.2024,0,0,0,0,Other
0010M00001UMgCdQAL,WaterWipes (Irish Breeze),aBR3y000000HCIrGAO,25959.2818,25959.2818,0,25959.2818,0,0,0,Other
0013y00001chSgDAAU,Children's Miracle Network,aBR0M000000LCGvWAO,274407.1295,274407.1295,0,274407.1295,0,0,0,Other
0013000001CAg38AAD,"Pandadoc, Inc.*",aBR3y0000004naGGAQ,5149.8236,5149.8236,0,5149.8236,0,0,0,Other
0013000001GX2hjAAD,Havan Lojas de Departamentos Ltda.,aBR3y0000000QvgGAE,32503.8014,28264.1751,0,0,0,0,28264.1751,Legacy CDP
0013000000Jh9cCAAR,Stanley Martin Companies,aBR3y0000000OdfGAE,162455,162455,0,162455,0,0,0,Other
001ed00000iS6pAAAS,Accelyst,001ed00000iS6pAAAS,960,960,0,0,0,960,0,Other
0013000001EYN2iAAH,STAR FESTIVAL INC.,0013000001EYN2iAAH,606.402,606.402,606.402,0,0,0,0,Other
0013000001CAJLCAA5,ClimeCo,aBR3y000000PDXPGA4,13104,8104,7000,0,1104,0,0,Other
0013y00001crXg0AAE,Economic Mobility Systems (Production),0013y00001crXg0AAE,34473.6,34473.6,34473.6,0,0,0,0,Other
001ed00000rRoITAA0,Municipality of Be'er Sheva - CRM Org,aBRed000000uUrRGAU,38760,38760,38760,0,0,0,0,Other
0013000001NXR52AAH,"On Location Events, LLC (TKO)",aBR3y000000sZA5GAM,23520.6496,8937.3163,8937.3163,0,0,0,0,Other
0013000001LWzB6AAL,Kogan Australia Pty Ltd,aBR3y000000H8URGA0,207563.4433,4992.7149,4731.5342,0,261.1807,0,0,Other
0013000001GWVAFAA5,Sanoma Media Finland Oy (B2C),aBR300000004LujGAE,62404.2399,61857.0375,0,38217.8938,0,23639.1437,0,Other
0013y00001f9XdYAAU,Alliant Org2 (Retail PC),aBR300000004PRqGAM,97725,97725,97725,0,0,0,0,Other
00130000002xI8xAAE,Ferrari SpA,aBR3y000000oLrVGAU,2568522.424,2568522.424,0,2545400.824,0,23121.6,0,Other
0010M00001WksUZQAZ,Agentschap Integratie en Inburgering,0010M00001WksUZQAZ,273.6012,273.6012,273.6012,0,0,0,0,Other
0010M00001Q6yDBQAZ,Framery Oy,aBR3y000000HIleGAG,97952.954,27335.1564,27335.1564,0,0,0,0,Other
00130000001kImhAAE,"Works Human Intelligence Co., Ltd.",aBR3y0000005879GAA,1435.9599,627.4239,627.4239,0,0,0,0,Other
001ed000006SzTJAA0,"FUJIMATSU Co.,Ltd.",aBRed000000A8h7GAC,48916.428,48512.16,48512.16,0,0,0,0,Other
001ed00000E6JkoAAF,Progress Pharmacy,001ed00000E6JkoAAF,18000,15000,0,0,15000,0,0,Other
0010M00001P0HIlQAN,Aava ja Pikkujätti Oy,aBR3y00000119omGAA,10068.5242,9028.8396,9028.8396,0,0,0,0,Other
001000000002HbIAAU,UMB Financial Corporation,aBR300000004EtPGAU,237006.4598,187052.0803,180076.6423,4995.438,1980,0,0,Other
0013y00001d9G5MAAU,"Sequel Med Tech, LLC",aBR3y0000005HljGAE,7563.2,7563.2,0,500,0,7063.2,0,Other
0013y00001Y0WzpAAF,"Železničná spoločnosť Slovensko, a.s. (ZSSK)",aBR3y000000TQEAGA4,16911.6721,16911.6721,0,16911.6721,0,0,0,Other
0013y00001bebDdAAI,Australian Football League (GWS),aBR3y0000004tjZGAQ,1324.104,1324.104,1324.104,0,0,0,0,Other
001ed00000klRTpAAM,The Waterway Developments,001ed00000klRTpAAM,4289.7536,4289.7536,449.7536,0,0,3840,0,Other
0013000001J5zlZAAR,UEM Sunrise Berhad,aBR3y0000008YmHGAU,5400,5400,5400,0,0,0,0,Other
001ed000008jIKPAA2,Glow Brands,001ed000008jIKPAA2,69000,69000,39000,0,30000,0,0,Other
0010M00001QaCvcQAF,Percassi Retail Srl,aBR0M000000GpabWAC,232574.1528,232574.1528,199742.0088,0,32832.144,0,0,Other
0013y00001h2QAmAAM,PO Söderberg & Partner AB (Org 2),aBR3y000000HLjfGAG,26502.0889,26502.0889,0,22900.2021,0,3601.8868,0,Other
001ed00000W8iXjAAJ,"Nexus R Housing, Inc.",aBR3y00000057RwGAI,3403.8713,3403.8713,3403.8713,0,0,0,0,Other
00100000000tLCEAA2,"Surgical Information Systems, LLC",aBR0M00000008sVWAQ,36023.9396,36023.9396,36023.9396,0,0,0,0,Other
001000000013TWWAA2,HealthEquity (Former WageWorks Org),aBR0M000000GoLCWA0,846874.1378,826874.1378,700634.1378,126240,0,0,0,Other
0013y00001gDUAGAA4,Web3 Teknoloji A.S,0013y00001gDUAGAA4,9819.9088,9819.9088,0,9819.9088,0,0,0,Other
0013000000rp5dYAAQ,Apps Associates LLC - MAIN,aBR3y000000TPi7GAG,672.7391,672.7391,672.7391,0,0,0,0,Other
0013000000rpZAwAAM,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,aBR0M000000LDR1WAO,2409190.281,1309962.481,295945.946,838456.5353,81000,94560,0,Other
00130000002xHUjAAM,IMCD Group B.V.,aBR3y000000yekxGAA,4909.6441,4909.6441,4909.6441,0,0,0,0,Other
0010M00001SIJlrQAH,Raiffeisen Immo AG,aBR300000004N1qGAE,4859.5833,4859.5833,4859.5833,0,0,0,0,Other
00130000016gaJ3AAI,Science Exchange,aBR3y0000004s4wGAA,5225,5225,425,0,0,4800,0,Other
0013000000ZjadYAAR,NORTHWEST HARVEST,0013000000ZjadYAAR,10340.5565,10340.5565,10190.6934,149.8631,0,0,0,Other
0010M00001S9MgWQAV,"North American Bancard, LLC",aBR300000004R4hGAE,248446.6667,233880,230280,0,3600,0,0,Other
0013000000I58gGAAR,Ego Pharmaceuticals Pty Ltd,aBR3y0000004kgAGAQ,11728.161,11728.161,0,11728.161,0,0,0,Other
0010M00001VKcpfQAD,"FPL Energy Services, Inc",aBR300000004Dx1GAE,64418.064,55366.104,0,55366.104,0,0,0,Other
0013000001CBPdsAAH,"LIFULL Co,. Ltd.",aBR3y00000053ZSGAY,147523.5693,85.323,0,85.323,0,0,0,Other
00120000000AWgwAAG,Schneider Electric Industries SAS,aBR300000004HoyGAE,57660.7751,57660.7751,30074.0983,0,27586.6768,0,0,Other
0013000000M1cvgAAB,Southern Illinois Hospital Services,aBR3000000004HIGAY,128640,104520,0,0,0,0,104520,Legacy CDP
0010M00001OzzNlQAJ,ROSSELLI & RUIZ SL,aBRed00000052ilGAA,42798.9942,29673.0662,0,29673.0662,0,0,0,Other
0013y00001e60JQAAY,"Fitness Ventures, S.A.P.I. de C.V. RFC: FVE160719595",0013y00001e60JQAAY,20033.8029,20033.8029,0,15545.8029,828,3660,0,Other
0013000000roQyCAAU,MV Sistemas,aBR3y000000TRkcGAG,11589.7686,9916.3827,156.8799,9412.7956,346.7072,0,0,Other
0013y00001fSlawAAC,Boots UK Limited,aBR3y000000HDciGAG,1767973.877,1767973.877,0,1704983.76,0,62990.1169,0,Other
0013000000M1e9PAAR,"Shiseido Company, Limited",aBRed000000A6liGAC,733756.8501,668643.1013,0,0,0,48512.16,620130.9413,Legacy CDP
0013y00001cMld4AAC,Encora,0013y00001cMld4AAC,22300,4500,4500,0,0,0,0,Other
0013000001CCrbUAAT,3P Learning Pty Ltd (Core Org),aBR3y000000wmJDGAY,43841.0442,43841.0442,42583.808,0,0,1257.2362,0,Other
0010M00001QmSNfQAN,Hanseatisches Wein und Sekt-Kontor HAWESKO GmbH,aBR3y0000004k2NGAQ,16348.1676,16348.1676,0,15196.416,0,1151.7516,0,Other
00100000001szxXAAQ,"Robbins Research International, Inc.",aBR0M0000000AG9WAM,87847.4114,60000,60000,0,0,0,0,Other
001ed00000W3xItAAJ,Pets at Home Limited,aBR3y000000HDeQGAW,149849.2241,40867.9702,40867.9702,0,0,0,0,Other
0013000000ZmFYLAA3,HealthWell Foundation,aBR0M000000LCI4WAO,127000,57000,57000,0,0,0,0,Other
0010M00001So3lYQAR,Columbia College,aBR0M00000004vxWAA,44958.9416,26975.365,26975.365,0,0,0,0,Other
0013000000FIlqSAAT,Velociti,aBR300000004OuxGAE,88834.9323,88834.358,87898.358,0,936,0,0,Other
00130000000IwfvAAC,JLG Industries   Inc.,aBR300000004DevGAE,102623.8743,100544.1022,0,89528.1022,0,11016,0,Other
00130000002xcICAAY,Robroy Industries Inc,aBR0M000000GorMWAS,59400,59400,59400,0,0,0,0,Other
0013y00001eTzFoAAK,"Merz North America, Inc. - Data Cloud Org",aBR0M000000CcC7WAK,214776,214776,24276,84000,37500,69000,0,Other
001ed000003ATlPAAW,DIGITALL Nature Germany GmbH (2nd Org),aBRed0000006XhHGAU,1840.8983,1840.8983,0,1840.8983,0,0,0,Other
00130000008EmQJAA0,"Yakult Honsha Co.,Ltd.",aBR0M000000LDqoWAG,141830.151,141830.151,0,140491.2153,0,1338.9357,0,Other
00130000016gpC1AAI,Office Freedom Ltd,00130000016gpC1AAI,5903.3893,5903.3893,5903.3893,0,0,0,0,Other
0013000001GUdKMAA1,Asuntosäätiö sr,aBR30000000XiG9GAK,8112.9855,823.6105,823.6105,0,0,0,0,Other
0013000000rndObAAI,Ritchie Bros. Auctioneers (Canada) Ltd.,aBRed0000004pAWGAY,167977.4,62977.4,62977.4,0,0,0,0,Other
0013000000FdOAZAA3,Officeworks Ltd,aBR3y000000HRpRGAW,324005.9204,208484.5981,199364.4937,9120.1044,0,0,0,Other
0010M00001X8GrdQAF,*MUTUA MADRILEÑA AUTOMOVILISTA SOCIEDAD DE SEGUROS A PRIMA FIJA,aBR3y0000000MpmGAE,440422.1067,440422.1067,439213.8838,0,1208.2229,0,0,Other
0010M00001QlzZrQAJ,Avenue Service LLC,aBR3y000000h4y8GAA,162083.1354,162083.1354,0,156683.1354,0,5400,0,Other
0013000000IUPCQAA5,Austin Health,0013000000IUPCQAA5,14311.9447,10526.7173,10526.7173,0,0,0,0,Other
00130000002xL3MAAU,Foodstuffs North Island Limited (Supply Chain),aBR3000000001rLGAQ,1604.7865,605.6989,329.6989,0,276,0,0,Other
0010M00001Qkk19QAB,"Toyota Motor North America, Inc.",aBR3y000000CmkdGAC,145210.5879,8651.2648,8397.6527,0,253.6121,0,0,Other
001300000007kr6AAA,Telstra Limited,aBR300000004CQ5GAM,2268768.406,1272948.033,0,235148.9651,0,1037799.068,0,Other
0013y00001g9bVrAAI,Switch Communications 2024 Org,aBR3y000000bwKQGAY,303466.3265,281218.5665,0,273214.5665,0,8004,0,Other
0013y00001cyfAYAAY,Success Academy Charter School Enterprise CRM,aBR3y0000000QawGAE,139000,109000,0,109000,0,0,0,Other
001ed000006RYVCAA4,Consolidated Communications (B2B Transformation),aBR300000004OZ7GAM,3529.9807,3529.9807,0,3529.9807,0,0,0,Other
00130000002xL3DAAU,Z Energy Limited,aBRed0000003MC5GAM,179559.6656,179559.6656,6063.9343,131933.9347,0,41561.7966,0,Other
001ed0000097DOLAA2,Kiara Jewellery Trading LLC,001ed0000097DOLAA2,1920,1920,0,0,0,1920,0,Other
00130000002xS2hAAE,Craveable Brands Pty Ltd,aBR3y000000HI54GAG,149609.9063,149609.9063,0,111284.4791,0,38325.4272,0,Other
0013y00001be8JbAAI,DQ Labs Private Limited,0013y00001be8JbAAI,18272.7763,18272.7763,18272.7763,0,0,0,0,Other
0013000000K9HrCAAV,The Delivery Group,aBR3y000000HJJfGAO,257.7577,31.4369,31.4369,0,0,0,0,Other
0010M00001P0VuBQAV,BRITISH UNIVERSITY VIET NAM,0010M00001P0VuBQAV,43920,43920,42000,0,0,1920,0,Other
0013000001L6fHjAAJ,The University of Massachusetts Office of the President,aBR300000004PdcGAE,50434.9843,703.7343,703.7343,0,0,0,0,Other
0013y00001h6htCAAQ,Tātaki Auckland Unlimited Trust,aBR3y000000g1YeGAI,15481.1452,15481.1452,0,15481.1452,0,0,0,Other
0013000000LBKicAAH,Paylocity Corporation,aBR3y000000H7iCGAS,39297.4452,39297.4452,39297.4452,0,0,0,0,Other
0010M00001VKf0fQAD,"Rutgers, The State University of New Jersey",aBR300000004OLeGAM,29548.0154,24352.76,24352.76,0,0,0,0,Other
0010M00001SIZ0QQAX,BSM Barcelona Serveis Municipals,aBR3y000000wmZNGAY,260083.4797,232723.3597,0,232723.3597,0,0,0,Other
00130000000vutnAAA,"PrimeRevenue, Inc.",aBR3y0000004qFEGAY,30824.7349,26809.3333,26809.3333,0,0,0,0,Other
0013000000M1adoAAB,City of Dallas - Business Management,aBR0M000000CcmFWAS,416340,416340,0,394500,0,21840,0,Other
001ed00000AniWvAAJ,SixOne-LendSeek,001ed00000AniWvAAJ,1050,1050,0,1050,0,0,0,Other
0010M00001QkR7kQAF,Tillman Infrastructure,aBR3y0000004pzmGAA,32800,32400,32400,0,0,0,0,Other
001ed00000YD57xAAD,National House-Building Council (NHBC) (New Org),aBRed000000ubo5GAA,44186.1503,44011.6602,44011.6602,0,0,0,0,Other
0013y00001cZxFcAAK,Progress Inc.,aBRed00000005yzGAA,12758.6981,11788.4549,11788.4549,0,0,0,0,Other
0010M00001U1j3pQAB,Tinexta Spa,aBR0M000000GpNXWA0,11333.6561,11333.6561,0,11333.6561,0,0,0,Other
0013000001CBmPPAA1,MÖBEL MARTIN B.V. & Co. KG,aBRed00000052HMGAY,96248.1156,96248.1156,0,96248.1156,0,0,0,Other
0013000000hIWepAAG,Mikit SA,0013000000hIWepAAG,14357.7643,14357.7643,5909.7859,2144.2067,0,6303.7717,0,Other
0013y00001cCZngAAG,The Prudential Insurance Company of America,aBR300000004EksGAE,1226540.597,240966.4531,0,0,240966.4531,0,0,Other
0013000000EOlPiAAL,citizenM Operations Holding B.V.,aBR3y000000HAaCGAW,2544.4912,1231.2054,1231.2054,0,0,0,0,Other
0013000000NPztOAAT,"RBC CAPITAL MARKETS, LLC*",aBR3y0000008XcQGAU,383986,349986,0,316002,0,33984,0,Other
0010M00001VKhZNQA1,TOYOTA FINANCE CORPORATION,aBR30000000L6FTGA0,21021.936,20617.668,20617.668,0,0,0,0,Other
0010M00001VKbniQAD,Neon One,aBR3y000000sZ6cGAE,42000,42000,42000,0,0,0,0,Other
0013000001CCq4UAAT,Banco de Crédito e Inversiones S.A.,aBR30000000XijzGAC,305236,5236,4876,0,360,0,0,Other
0013y00001h6vbXAAQ,ENEOS Corporation,aBR30000000L6BiGAK,21205.9142,17671.5952,17671.5952,0,0,0,0,Other
001ed00000aDIwtAAG,Home School Legal Defense Association - NPC org,aBRed0000003uCAGAY,63186.7602,63186.7602,53503.5438,9407.2164,276,0,0,Other
0013000000RafO3AAJ,University Of Limerick,aBR30000000XjoqGAC,50088.7907,11819.5718,11819.5718,0,0,0,0,Other
0013000000ZmLeJAAV,Flexcare Staffing,aBR0M000000bo8nWAA,56000,56000,56000,0,0,0,0,Other
0013000001CA32qAAD,THE NETWORK FOR LEARNING LIMITED,0013000001CA32qAAD,2655,2155,2155,0,0,0,0,Other
00100000001Kfu8AAC,CommScope - BNS Telecom,aBR300000004DcIGAU,139052.04,139052.04,0,0,0,0,0,Legacy CDP
0010M00001QkZkpQAF,Bajaj Auto Ltd. (Test Environment),aBR3y0000000CFSGA2,6507.9086,6507.9086,0,6130.7379,0,377.1707,0,Other
00130000016gfd5AAA,Flight Centre Travel Group Limited,aBR300000004CJuGAM,27490.9602,25582.0062,25582.0062,0,0,0,0,Other
0013y00001d9G3LAAU,Siemens Corporation,aBR300000004Db6GAE,177802.2464,122233.1636,122233.1636,0,0,0,0,Other
0013y00001cUBxNAAW,Ströer SE & Co. KGaA (Statista GmbH - 00D2X000000rfE8),aBR300000004HBnGAM,110289.7381,849.2581,849.2581,0,0,0,0,Other
0013000000M2RoCAAV,Home Run Inn Frozen Foods Corp.,aBR3y000000wsIMGAY,16200,12200,10700,60,0,1440,0,Other
001ed000006GrPuAAK,American Medical Association - Data Cloud,aBR300000004OTxGAM,157200,157200,0,97200,0,60000,0,Other
00130000004IG6zAAG,Empresa Nacional De Telecomunicaciones S.A.,aBR0M000000L9TtWAK,3500,3500,3500,0,0,0,0,Other
0010M00001Sekp5QAB,CCI Hauts de France,aBRed0000008lZdGAI,17428.3965,14364.063,14364.063,0,0,0,0,Other
00130000005dLuMAAU,MercadoLibre SRL,aBR300000004c1zGAA,1114485.698,611546.2553,131852.2553,464250,0,15444,0,Other
0013000001Mnz3tAAB,Cimentos Apodi,0013000001Mnz3tAAB,14136.7639,14136.7639,0,14136.7639,0,0,0,Other
0010M00001Xxt8BQAR,McGill and Partners Services Ltd,aBR3y00000116qbGAA,182493.3013,140577.4344,140577.4344,0,0,0,0,Other
0013000001GVBMgAAP,TaxSlayer,0013000001GVBMgAAP,60250,60250,60250,0,0,0,0,Other
001ed00000FkXzdAAF,Magnum ICC UK R&D Ltd - (EU),aBR0M00000008VyWAI,2950614.176,2134544.028,1677526.321,36774.0061,420243.7002,0,0,Other
0013000000HI3f9AAD,Meriton Group,aBR3y000000CnNqGAK,66678.2944,66678.2944,0,0,0,0,66678.2944,Legacy CDP
0013y00001cyfugAAA,Ford Pro,aBR300000004C9OGAU,191235.24,176468.04,0,0,0,0,176468.04,Legacy CDP
0013000000NQWZeAAP,Banco BTG Pactual S.A.,aBR3y000000yhCQGAY,127421.2639,127421.2639,0,116115.5939,0,11305.67,0,Other
0013000001CCwzaAAD,Arctic Wolf Networks,aBR3y0000004pb2GAA,116000.367,113145.373,5490.373,0,828,0,0,Other
00100000000tKHPAA2,Newell Brands Inc.,aBR300000004DQvGAM,39500,9000,9000,0,0,0,0,Other
0013000000M1bEjAAJ,The Reinalt-Thomas Corporation,aBR300000004EMYGA2,27600,27600,0,0,0,27600,0,Other
00130000016hWn6AAE,Comercial Dportenis S.A de C.V,aBR3y000000CnBBGA0,1402.4078,1402.4078,1402.4078,0,0,0,0,Other
00130000016izfYAAQ,Luware AG,00130000016izfYAAQ,38822.5005,33574.1505,33574.1505,0,0,0,0,Other
0010M00001Yaw1UQAR,Banco Bradesco BBI S.A.,aBR300000004RnGGAU,2898602.396,2875044.006,12393.684,2806918.3,0,55732.0214,0,Other
001ed00000eg40AAAQ,OmniaStores,001ed00000eg40AAAQ,3240,3240,0,0,0,3240,0,Other
0013000000GIhyFAAT,TMBThanachart Bank Public Company Limited (ttb),aBR0M000000bpyIWAQ,576,576,576,0,0,0,0,Other
0013y00001hE9QXAA0,Foot Locker atmos Japan G.K.,aBRed0000004vvoGAA,35292.5964,35292.5964,0,35292.5964,0,0,0,Other
0013000000M1MxLAAV,"JAPAN FOOD JOURNAL CO.,LTD",aBR3y00000052jMGAQ,2061.7668,1516.005,1516.005,0,0,0,0,Other
0013y00001cSRkvAAG,"Expedia, Inc.",aBR300000004DqQGAU,4170670.997,4116038.117,0,4019978.117,0,96060,0,Other
0013y00001e5x7NAAQ,University of Melbourne,aBRed000000AslVGAS,68250.781,63519.2468,0,63519.2468,0,0,0,Other
0013y00001e5wJXAAY,Envision eCommerce,aBR3y000000HEeYGAW,16125,6775,6775,0,0,0,0,Other
0013000000RaMQVAA3,Portsys Inc.,0013000000RaMQVAA3,12500,2500,2500,0,0,0,0,Other
0013000000M1Z4mAAF,MasterBrand Cabinets LLC,aBR3000000003zAGAQ,60000,48750,0,0,0,0,48750,Legacy CDP
0013000001CBf51AAD,CETT S.A.,aBR30000000XkAcGAK,4920.3281,4920.3281,4920.3281,0,0,0,0,Other
0013000001GkUs2AAF,freee K.K.,aBR3y0000005207GAA,33958.512,33958.512,33958.512,0,0,0,0,Other
00130000002x9n0AAA,Pets at Home Limited,aBR3y000000cFcdGAE,221368.172,40867.9702,40867.9702,0,0,0,0,Other
0013y00001fvAe3AAE,Learning Online Pty Ltd 2nd org,aBR3y000000g3IOGAY,4052.4286,4052.4286,4052.4286,0,0,0,0,Other
0013y00001f61wsAAA,TSA Outdoors,0013y00001f61wsAAA,9363.3071,9363.3071,9363.3071,0,0,0,0,Other
0013000000NR4KZAA1,Santander Consumer Bank S.A,aBR30000000XickGAC,224681.3054,224681.3054,0,224681.3054,0,0,0,Other
0010M00001UEbkAQAT,IDB Invest,aBR300000004OP1GAM,119400,119400,119400,0,0,0,0,Other
001ed00000JISfgAAH,CGI Technology and Solutions,aBR300000004O1gGAE,200000,200000,200000,0,0,0,0,Other
0010M00001QqoGRQAZ,Pasona Inc.,aBR30000000PAymGAG,4508.3967,627.4239,627.4239,0,0,0,0,Other
0013000000JJgYSAA1,SMFG INDIA CREDIT COMPANY LIMITED,aBR3y000000HQDoGAO,444453.0377,444453.0377,0,442590.7574,0,1862.2803,0,Other
0010M00001bm4JnQAI,Clear PreCheck Engagement GovCloud,aBR3y00000113jXGAQ,862.5,862.5,862.5,0,0,0,0,Other
0013000000IlzuTAAR,MSCI INC.,aBR300000004QdoGAE,82942.5906,442.5906,442.5906,0,0,0,0,Other
0013000000NRX7jAAH,Waste Management National Services Inc.,aBR300000004DzLGAU,1417.9549,1417.9549,1417.9549,0,0,0,0,Other
0013000000B2QGGAA3,DEKRA SE,aBR300000004HVAGA2,245365.5561,16853.8339,16853.8339,0,0,0,0,Other
00100000001T7rDAAS,Refinitiv Ltd,aBR3y000000H7RxGAK,181864.5633,139948.6964,139948.6964,0,0,0,0,Other
00130000016hJXlAAM,mobile.de GmbH Germany - multi org (Marketing),aBR30000000XcFfGAK,205905.259,205905.259,0,190355.9555,0,15549.3035,0,Other
0013000001MrKMwAAN,Savory And Partners LLC,0013000001MrKMwAAN,216,216,0,0,0,216,0,Other
0010M00001SHs5jQAD,"Vitrolife Sweden, AB",0010M00001SHs5jQAD,50387.4,50387.4,0,0,0,0,50387.4,Legacy CDP
00130000002xJBQAA2,AEGON Administración y Servicios AIE,aBR3000000003MuGAI,62258.5001,62258.5001,0,56112.3228,0,6146.1773,0,Other
0010M00001NYWrRQAX,Technip Energies,aBR3y000000TRfjGAG,119290.1232,45965.0016,45965.0016,0,0,0,0,Other
00100000000nEClAAM,Ellucian Company (PARENT),aBR3y0000005HavGAE,128605.08,128605.08,0,0,0,0,0,Legacy CDP
