ACCT_ID_18,ACCT_NM,COMBO_COMPANY_ID_18,CY_AFDC_AOV,CY_DC_AOV,CY_DC_C360_AOV,CY_DC_MKT_AOV,CY_DC_C360_AO_AOV,CY_DC_MKT_AO_AOV,CY_DC_CDP_AOV,Legacy CDP
0013000000hKLBoAAO,Trotec Laser GmbH,aBR0M0000004iHKWAY,95596.2592,73708.1632,0,28892.2867,0,44815.8765,0,Other
00130000002xZSNAA2,"Topcon Healthcare, Inc",aBR300000004QTYGA2,50776,776,776,0,0,0,0,Other
00130000016hGMxAAM,Matrix Education (and tripbookr),aBR3y000000HI6UGAW,945.7886,945.7886,945.7886,0,0,0,0,Other
0010M00001WkcXjQAJ,Bioconnect*,aBR3y000000HHS3GAO,32533.3333,32533.3333,32533.3333,0,0,0,0,Other
00130000000Ec9QAAS,DEVOTEAM SA,aBR3y00000116UtGAI,6518.4617,6518.4617,6518.4617,0,0,0,0,Other
0013y00001d9OyvAAE,"Nomura Research Institute, Ltd.",aBR30000000L6TIGA0,586.9971,586.9971,586.9971,0,0,0,0,Other
0013000000ZlV9zAAF,Pictet Asset Management SA,aBR300000004N1AGAU,113296.7986,113296.7986,0,113296.7986,0,0,0,Other
0013000000NPQOBAA5,TaskUs Holdings Inc,aBR3y0000004o9BGAQ,1554.1362,1554.1362,0,1554.1362,0,0,0,Other
0010M00001QkcU9QAJ,EMPARK APARCAMIENTOS Y SERVICIOS SA,aBRed0000004u3lGAA,47874.9531,46623.9382,38087.5808,0,0,8536.3574,0,Other
0013000000ZlaXDAAZ,ALDI International Services SE & Co. oHG,aBR3y000000HBPRGA4,89702.4563,89702.4563,0,89702.4563,0,0,0,Other
0010M00001MtNrNQAV,"VILLAGE HOUSE MANAGEMENT Co., Ltd.",0010M00001MtNrNQAV,51607.2358,51607.2358,0,51607.2358,0,0,0,Other
0013y00001d9Ib7AAE,FS Technology S.p.A. - Org Trenitalia Spa,aBR0M000000GpL9WAK,1687598.467,1392109.171,0,936766.7326,0,455342.4387,0,Other
0013000001Mj8erAAB,Banco Santander Totta S.A.,aBR3y000000wrVrGAI,286688.9264,238901.8876,0,0,0,0,238901.8876,Legacy CDP
0013000000Gqno4AAB,Australian Football League (HQ),aBR3y0000004tjZGAQ,2383.3873,2383.3873,0,2383.3873,0,0,0,Other
001ed00000VJ7vBAAT,Five V Capital (FSC on Platform Org),aBR3y000000H8YYGA0,8687.0968,8687.0968,8687.0968,0,0,0,0,Other
0013y00001cyk7GAAQ,Ohio Department of Developmental Disabilities - 2nd org,aBR0M000000Cci3WAC,22500,5000,5000,0,0,0,0,Other
0013y00001cIoruAAC,Saks.com LLC,aBRed0000000ZKLGA2,2492699.276,1450307.257,1123241.769,-24027.3155,350096.0889,996.7149,0,Other
0010M00001SJGHgQAP,Southbridge Chile,aBR3y000000TVltGAG,65553.8375,63700,63700,0,0,0,0,Other
0013000001Ig7dbAAB,GEFIX SNC,0013000001Ig7dbAAB,2035.7417,2035.7417,2035.7417,0,0,0,0,Other
0013000001GUVHkAAP,Hurtigruten Global Services AS,aBR3y000000HDJ8GAO,467400,467400,0,467400,0,0,0,Other
0013y00001d2WWAAA2,Tramontina Central de Administracao Ltda.,aBR3y0000004xUeGAI,16927.4609,16927.4609,0,16927.4609,0,0,0,Other
0013000000hMZ59AAG,NSW Electricity Networks Operations Pty Limited,aBR300000004CWzGAM,70438.5585,70200.7602,0,70200.7602,0,0,0,Other
0013y00001djtT4AAI,Stella Geração Distribuida (Org 2),aBR3y000000wniQGAQ,48237.5255,1884.2784,0,1884.2784,0,0,0,Other
001ed000006RbHlAAK,United Network for Organ Sharing,aBR3y0000000KJwGAM,4950,4950,4950,0,0,0,0,Other
0013y00001h7KliAAE,TOYOTA MOTOR CORPORATION(モータースポーツ 取組3),aBR30000000L6FTGA0,28818.4074,28818.4074,0,28818.4074,0,0,0,Other
0013y00001eU7CIAA0,Australian Film Television and Radio School,aBR3y000000TUg4GAG,42583.808,42583.808,42583.808,0,0,0,0,Other
00130000000OOPOAA4,Imperva Inc. a Thales company,aBR300000004FEWGA2,188988,188988,0,0,0,0,0,Legacy CDP
0010M00001V4DZTQA3,Cloudwerx,aBR3y000000TRmeGAG,53683.9872,53683.9872,53683.9872,0,0,0,0,Other
0013000000K842JAAR,Cytiva,aBR30000000Xlp7GAC,85371.8457,85371.8457,0,80296.8239,0,5075.0218,0,Other
00100000001CwRxAAK,Robert Half International Inc.,aBR300000004F3lGAE,1342127.294,1078984.346,1076079.243,0,2905.1026,0,0,Other
0013y00001g5O9XAAU,GLOBOLOSYS FASHION PRIVATE LIMITED,0013y00001g5O9XAAU,12660.7551,12464.312,0,12464.312,0,0,0,Other
0013000000E22lbAAB,Interactive Investor Services Limited,aBR30000000XlugGAC,66393.1574,66393.1574,0,27097.0323,0,39296.1251,0,Other
00130000002weRRAAY,Pioneer,00130000002weRRAAY,59685.48,59685.48,59685.48,0,0,0,0,Other
